variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;17.488;36,67;12;0,19
B.1.1.7+E484K;32;0,07;0;0
Q.1;130;0,27;0;0
Q.2;1.004;2,11;0;0
B.1.351;54;0,11;0;0
B.1.351.2;9;0,02;0;0
B.1.351.3;39;0,08;0;0
B.1.617.2;12.441;26,09;4068;65,94
AY.1;8;0,02;5;0,08
AY.3;8;0,02;4;0,06
AY.4;3.535;7,41;775;12,56
AY.5;252;0,53;156;2,53
AY.5.2;1;0;1;0,02
AY.6;707;1,48;97;1,57
AY.7;283;0,59;9;0,15
AY.7.1;10;0,02;4;0,06
AY.7.2;214;0,45;128;2,07
AY.9;412;0,86;133;2,16
AY.10;38;0,08;26;0,42
AY.11;34;0,07;0;0
AY.12;2.384;5;393;6,37
AY.14;32;0,07;26;0,42
AY.15;2;0;2;0,03
AY.16;4;0,01;4;0,06
AY.17;4;0,01;3;0,05
AY.19;11;0,02;11;0,18
AY.20;32;0,07;31;0,5
AY.21;183;0,38;6;0,1
AY.22;4;0,01;2;0,03
AY.23;42;0,09;40;0,65
AY.24;7;0,01;2;0,03
AY.25;40;0,08;33;0,53
AY.26;56;0,12;48;0,78
AY.28;2;0;2;0,03
AY.29;2;0;0;0
AY.32;63;0,13;62;1,01
B.1.525;391;0,82;0;0
P.1;427;0,9;1;0,02
P.1.1;1.281;2,69;1;0,02
P.1.2;1;0;0;0
P.1.4;3;0,01;0;0
P.1.7;287;0,6;0;0
P.1.10;1;0;0;0
B.1.617.1;19;0,04;1;0,02
C.37;14;0,03;0;0
C.37.1;5;0,01;0;0
P.2;5;0,01;0;0
Other;5.685;11,92;83;1,35
