Etˆ;Tutti;Maschi;Femmine
0;0,00%;0,00%;0,00%
1;0,00%;0,00%;0,00%
2;0,00%;0,00%;0,00%
3;0,00%;0,00%;0,00%
4;0,00%;0,00%;0,00%
5;0,00%;0,00%;0,00%
6;0,00%;0,00%;0,00%
7;0,00%;0,00%;0,00%
8;0,00%;0,00%;0,00%
9;0,00%;0,00%;0,00%
10;0,00%;0,00%;0,00%
11;0,00%;0,00%;0,00%
12;0,00%;0,00%;0,00%
13;0,00%;0,00%;0,00%
14;0,00%;0,00%;0,00%
15;0,00%;0,00%;0,00%
16;0,00%;0,00%;0,00%
17;0,00%;0,00%;0,00%
18;0,00%;0,00%;0,00%
19;0,00%;0,00%;0,00%
20;0,00%;0,00%;0,00%
21;0,00%;0,00%;0,00%
22;0,00%;0,00%;0,00%
23;0,00%;0,00%;0,00%
24;0,00%;0,00%;0,00%
25;0,00%;0,00%;0,00%
26;0,00%;0,00%;0,00%
27;0,00%;0,00%;0,00%
28;0,00%;0,00%;0,00%
29;0,00%;0,00%;0,00%
30;0,00%;0,00%;0,00%
31;0,00%;0,00%;0,00%
32;0,00%;0,00%;0,00%
33;0,00%;0,00%;0,00%
34;0,00%;0,00%;0,00%
35;0,00%;0,01%;0,00%
36;0,00%;0,00%;0,00%
37;0,01%;0,01%;0,00%
38;0,01%;0,01%;0,00%
39;0,01%;0,01%;0,00%
40;0,01%;0,01%;0,00%
41;0,01%;0,01%;0,00%
42;0,01%;0,01%;0,01%
43;0,01%;0,01%;0,01%
44;0,01%;0,01%;0,01%
45;0,01%;0,01%;0,01%
46;0,02%;0,02%;0,01%
47;0,01%;0,02%;0,01%
48;0,02%;0,03%;0,01%
49;0,02%;0,03%;0,01%
50;0,03%;0,03%;0,02%
51;0,03%;0,04%;0,02%
52;0,03%;0,04%;0,02%
53;0,04%;0,05%;0,02%
54;0,04%;0,06%;0,02%
55;0,05%;0,07%;0,02%
56;0,06%;0,08%;0,03%
57;0,06%;0,10%;0,04%
58;0,08%;0,11%;0,04%
59;0,08%;0,13%;0,04%
60;0,10%;0,14%;0,06%
61;0,12%;0,19%;0,06%
62;0,13%;0,20%;0,07%
63;0,15%;0,23%;0,08%
64;0,16%;0,25%;0,09%
65;0,19%;0,29%;0,09%
66;0,21%;0,32%;0,11%
67;0,24%;0,36%;0,13%
68;0,25%;0,38%;0,14%
69;0,29%;0,42%;0,16%
70;0,32%;0,49%;0,17%
71;0,36%;0,54%;0,20%
72;0,42%;0,62%;0,23%
73;0,46%;0,69%;0,27%
74;0,62%;0,89%;0,38%
75;0,56%;0,84%;0,33%
76;0,64%;0,96%;0,37%
77;0,70%;1,04%;0,43%
78;0,77%;1,14%;0,48%
79;0,78%;1,13%;0,50%
80;0,91%;1,34%;0,58%
81;1,00%;1,44%;0,67%
82;1,21%;1,72%;0,84%
83;1,33%;1,88%;0,96%
84;1,40%;1,94%;1,05%
85;1,56%;2,11%;1,20%
86;1,76%;2,44%;1,36%
87;1,94%;2,69%;1,51%
88;2,07%;2,80%;1,68%
89;2,20%;3,00%;1,81%
90;2,62%;3,54%;2,20%
91;2,75%;3,80%;2,31%
92;2,90%;3,80%;2,54%
93;3,24%;4,08%;2,93%
94;3,41%;4,31%;3,12%
95;3,61%;4,34%;3,38%
96;3,76%;4,62%;3,51%
97;4,25%;5,32%;3,97%
98;4,06%;4,72%;3,90%
99;4,47%;5,26%;4,29%
