Data;Studenti in quarantena;Personale scolastico in quarantena;Totale persone in quarantena nelle settimane di rilevazione ;Numero di classi in quarantena nella settimana di rilevazione ;Numero di classi in quarantena servizi educativi 0-3 anni ;Numero di classi in quarantena scuole infanzia 3-6 anni ;Numero di classi in quarantena scuola primaria ;Numero di classi in quarantena scuola secondaria di primo grado ;Numero di classi in quarantena scuola secondaria di secondo grado 
03/01/2022 - 09/01/2022;981;176;1.157;67;12;8;22;12;13
10/01/2022 - 16/01/2022;13.133;395;13.528;969;122;286;340;67;154
17/01/2022 - 23/01/2022;36.344;1087;37.431;2.334;202;690;882;252;308
24/01/2022 - 30/01/2022;61.537;945;62.482;3.367;346;904;1372;341;404
31/01/2022 - 06/02/2022;37.868;588;38.313;1.826;184;548;703;193;198
07/02/2022 - 13/02/2022;9.467;37;9.504;701;50;144;189;144;174
14/02/2022 - 20/02/2022;2.056;6;2.062;313;5;39;49;102;118
21/02/2022 - 27/02/2022;1.585;23;1.608;230;11;30;38;75;76
28/02/2022 - 06/03/2022;970;19;989;164;9;11;21;48;75
07/03/2022 - 13/03/2022;805;14;819;163;1;5;10;58;89
21/03/2022 - 27/03/2022;1.197;30;1.227;237;0;8;13;76;140
