Week;no test ;COVIDNeg/AdenoNK ;COVIDPos/AdenoNK ;COVIDPos/AdenoNeg ;AdenoNeg/COVIDNK ;AdenoNeg/COVIDNeg ;AdenoPos/COVIDNK ;AdenoPos/COVIDNeg ;AdenoPos/COVIDPos 
1;2;0;0;1;0;0;0;1;0
2;0;1;0;0;0;0;0;0;0
3;0;0;0;1;0;0;0;0;0
4;0;1;0;0;0;0;0;3;0
5;1;0;0;1;1;0;2;0;0
6;0;0;0;0;0;0;0;1;0
7;0;1;0;0;0;0;0;1;0
8;1;1;0;0;1;1;0;0;0
9;0;1;0;0;0;0;1;3;0
10;0;1;0;0;1;0;0;3;0
11;2;0;0;0;0;0;0;2;2
12;2;0;1;0;1;1;3;1;0
13;3;2;2;1;0;1;3;6;1
14;5;1;0;0;0;1;5;1;0
15;0;0;0;0;0;0;1;0;0
