Regione;Settimana;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;43;44;45;46;47;48;49;50;51;52;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Piemonte;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<14,37;<9,37;<14,37;<9,37;<9,37;<9,37;<9,37;<9,37;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Valle d'Aosta;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Lombardia;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
P.A. Bolzano;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<3,16;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
P.A. Trento;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Veneto;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Friuli V. G.;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Liguria;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<9,37;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;<9,37;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Emilia R.;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
Toscana;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;<3,16;<3,16;<3,16;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.;n.d.
