variant;number_sequenced;percent_cases_sequenced
B.1.1.7;18.417;71,97
B.1.351;35;0,14
P.1;189;0,74
P.2;3;0,01
B.1.525;266;1,04
B.1.1.7 + E484K;8;0,03
B.1.617.1/2b;140;0,55
P.1.1;780;3,05
Other;5.751;22,47
