variant;number_sequenced;percent_cases_sequenced
B.1.1.7;1.934;70,64
B.1.351;10;0,36
P.1;34;1,24
P.2;4;0,15
B.1.525;78;2,85
B.1.1.7 + E484K;1;0,04
B.1.617.1/2b;85;3,1
Other;592;21,62
;;
