variant;number_sequenced;percent_cases_sequenced
B.1.1.7;4774;57,15
B.1.1.7 + E484K;19;0,23
B.1.351;39;0,47
P.1;187;2,24
B.1.617.2;1545;18,49
AY.1;1;0,01
B.1.525;149;1,78
B.1.617.1;5;0,06
B.1.6173;15;0,18
P.2;4;0,05
Other;1616;19,34
