variant;number_sequenced;percent_cases_sequenced
B.1.1.7;24.345;64,48
B.1.1.7+E484K;26;0,07
B.1.351;69;0,18
P.1;655;1,73
B.1.617.2;2.244;5,94
B.1.525;409;1,08
B.1.617.1;9;0,02
B.1.617.3;0;0
P.1.1;1.506;3,99
P.2;3;0,01
Altro lignaggio;8.489;22,48
;;
