DATARILEVAMENTO,TAGESMUTTER,NIDID'INFANZIA,SCUOLAINFANZIA,SCUOLAPRIMARIA,SCUOLA SECONDARIADI I GRADO,SCUOLA SECONDARIADI II GRADO,TOTALE
14 febbraio,0,1,0,5,4,16,26
7 febbraio,1,22,67,136,69,31,326
31 gennaio,1,30,115,150,64,36,396
24 gennaio,4,29,108,112,69,143,465
17 gennaio,0,14,27,38,30,81,190
10 gennaio,0,3,0,0,0,0,3
27 dicembre,0,4,6,16,10,9,45
20 dicembre,0,3,5,21,10,8,47
13 dicembre 2021,0,0,3,23,12,3,41
06 dicembre 2021,0,0,5,13,12,3,33
29 novembre 2021,0,0,2,9,8,2,21
23 novembre 2021,0,0,2,8,4,4,18
15 novembre 2021,0,0,1,2,1,1,5
07 novembre 2021,0,0,0,1,0,0,1
02 novembre 2021,0,0,0,0,4,1,5
25 ottobre 2021,0,0,1,2,2,1,6
18 ottobre 2021,0,0,2,1,1,0,4
11 ottobre 2021,0,0,1,1,1,1,4
04 ottobre 2021,0,0,1,1,0,0,2
27 settembre 2021,0,0,0,1,0,0,1
20 settembre 2021,0,0,0,1,0,0,1
07 giugno 2021,0,1,0,9,7,6,23
31 maggio 2021,0,2,3,16,10,15,46
24 maggio 2021,0,1,9,22,12,20,64
17 maggio 2021,0,6,15,21,18,25,85
12 maggio 2021,0,8,14,18,13,18,71
3 maggio 2021,0,9,12,25,16,18,80
26 aprile 2021,0,8,12,32,21,22,95
19 aprile 2021,1,4,9,19,14,10,57
12 aprile 2021,1,2,8,4,3,5,23
06 aprile 2021,0,2,6,3,1,9,21
22 marzo 2021,1,13,21,26,20,28,109
15 marzo 2001,2,16,33,45,39,57,192
9 marzo 2001,1,6,17,12,19,38,93
1 marzo 2021,4,1,14,5,5,44,73
23 febbraio 2021,0,4,3,1,3,35,46
16 febbraio 2021,-,4,6,2,3,36,51
09 febbraio 2021,-,1,10,6,2,17,36
