codiceProvinciale,codiceMiur,denominazioneUfficiale,primaria,secondaria1grado,secondaria2grado,formazione_professionale,indirizzo,email,latitudeY,longitudeX,comune,alunni
220532101,TNEE84406Q,SCUOLA PRIMARIA CAVEDINE,True,False,False,False,Via Don Negri 21,,45.97847368,10.97643218,CAVEDINE,105
220312101,TNEE84405P,SCUOLA PRIMARIA CALAVINO,True,False,False,False,Piazza Maria Assunta - Calavino 1,,46.0469682,10.98458236,MADRUZZO,86
221963001,TNMM80802B,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. ALBERTI"" TESERO",False,True,False,False,Via Fia 11/A,,46.29027715,11.514016250000001,TESERO,125
221473001,TNMM80801A,"SCUOLA SECONDARIA DI PRIMO GRADO ""MARZARI PENCATI"" PREDAZZO",False,True,False,False,Via Vardabasso 3,,46.31183061,11.59889415,PREDAZZO,162
221962101,TNEE80804E,"SCUOLA PRIMARIA ""G. MANEGA"" TESERO",True,False,False,False,Via Fia 11/A,,46.29022665,11.51280684,TESERO,171
221552101,TNEE82805R,"SCUOLA PRIMARIA ""MADRE TERESA DI CALCUTTA"" ROMENO",True,False,False,False,Via Monsignor Rosati 1,,46.39316973,11.11721609,ROMENO,68
220882101,TNEE82804Q,"SCUOLA PRIMARIA ""PADRE A. STEFENELLI"" FONDO",True,False,False,False,Piazza Don Stefenelli - Fondo 2,,46.44082837,11.13682235,BORGO D'ANAUNIA,100
220512101,TNEE82802N,SCUOLA PRIMARIA CAVARENO,True,False,False,False,Piazzale Savera 1,,46.40785101,11.13815204,CAVARENO,89
220462101,TNEE82801L,SCUOLA PRIMARIA CASTELFONDO,True,False,False,False,Via Madonna Pellegrina 5,,46.45631234,11.11844222,BORGO D'ANAUNIA,31
221523001,TNMM82802L,"SCUOLA SECONDARIA DI PRIMO GRADO ""C.A. Martini"" REVO'",False,True,False,False,Via Canestrini 7,,46.39346956,11.05241381,NOVELLA,117
221692101,TNEE828103,SCUOLA PRIMARIA SANZENO,True,False,False,False,Frazione Banco 98,,46.37438665,11.07230064,SANZENO,46
221522101,TNEE828091,"SCUOLA PRIMARIA ""C.A. Martini"" REVO'",True,False,False,False,Via Delle Maddalene 7,,46.39399876,11.05163761,NOVELLA,82
220272101,TNEE82808X,"SCUOLA PRIMARIA ""Stefano Zuech"" BREZ",True,False,False,False,Via Nigaiola - Brez 1,,46.43260803,11.10679568,NOVELLA,67
221033001,TNMM825014,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. STAINER"" LAVIS",False,True,False,False,Via Sette 13/A,,46.13743885,11.11353904,LAVIS,351
221032101,TNEE825015,"SCUOLA PRIMARIA ""DON G. GRAZIOLI"" LAVIS",True,False,False,False,Via Degasperi 18,,46.13858024,11.11111271,LAVIS,366
222252101,TNEE825037,"SCUOLA PRIMARIA ""A. FRANK"" ZAMBANA",True,False,False,False,Piazza SS Filippo e Giacomo 1,,46.15094217,11.09669869,TERRE D'ADIGE,108
221032103,TNEE825026,SCUOLA PRIMARIA PRESSANO LAVIS,True,False,False,False,Via Pilati 31,,46.15183557,11.1064191,LAVIS,92
221043001,TNMM818011,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. B. DE GASPARIS"" LEVICO TERME",False,True,False,False,Via della Pace 5,,46.01362,11.30741908,LEVICO TERME,486
220322101,TNEE818012,"SCUOLA PRIMARIA ""PADRE B. MARTINELLI"" CALCERANICA AL LAGO",True,False,False,False,Via della Scuola 2,,46.00388947,11.24272085,CALCERANICA AL LAGO,82
221902101,TNEE818045,"SCUOLA PRIMARIA ""G. ROSANELLI"" TENNA",True,False,False,False,Via Albere 2,,46.01308855,11.26670429,TENNA,55
221042101,TNEE818034,SCUOLA PRIMARIA LEVICO TERME,True,False,False,False,Via della Pace 5,,46.01362,11.30741908,LEVICO TERME,371
220342101,TNEE818023,"SCUOLA PRIMARIA ""C. CHIESA"" CALDONAZZO",True,False,False,False,Via Asilo 3,,45.99332233,11.26390271,CALDONAZZO,190
221103001,TNMM833013,"SCUOLA SECONDARIA DI PRIMO GRADO ""G. CICCOLINI"" MALE'",False,True,False,False,Via Taddei De Mauris 4,,46.35352639,10.91174838,MALE',254
221502101,TNEE83307A,SCUOLA PRIMARIA S.BERNARDO RABBI,True,False,False,False,Frazione San Bernardo  ,,46.40151928,10.84656794,RABBI,51
221102101,TNEE833058,"SCUOLA PRIMARIA ""C. CRISTOFORETTI"" MALE'",True,False,False,False,Via Alla Croce 17,,46.35137194,10.91500308,MALE',116
220752101,TNEE833047,SCUOLA PRIMARIA DIMARO,True,False,False,False,Piazza Madonna Della Pace - Dimaro 14,,46.3263902,10.87589118,DIMARO FOLGARIDA,63
222059901,TNCT70500P,EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO,False,True,False,False,Via Malfatti 2,,46.06102126,11.12576417,TRENTO,1282
222056235,TNPM010509,LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE SERALE,False,False,True,False,Via Malfatti 2,,46.06102126,11.12576417,TRENTO,445
222057133,TNPM01000X,LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE,False,False,True,False,Via Malfatti 2,,46.06102126,11.12576417,TRENTO,254
222057132,TNPM01000X,LICEO DELLE SCIENZE UMANE,False,False,True,False,Via Malfatti 2,,46.06102126,11.12576417,TRENTO,762
220682101,TNEE833036,"SCUOLA PRIMARIA ""B. PEZZEN"" CROVIANA",True,False,False,False,Via delle Scuole 25,,46.34509746,10.90338166,CROVIANA,71
220332101,TNEE833014,SCUOLA PRIMARIA CALDES,True,False,False,False,Via Al Castello 26,,46.36555934,10.94456915,CALDES,63
221313001,TNMM832017,"SCUOLA SECONDARIA DI PRIMO GRADO ""C. ZANELLA"" FUCINE DI OSSANA",False,True,False,False,Via S Michele 11,,46.31072367,10.73256864,OSSANA,181
221312101,TNEE832029,"SCUOLA PRIMARIA ""E. BEZZI"" OSSANA",True,False,False,False,Via Di S Antonio 21,,46.30792256,10.73930303,OSSANA,68
222132101,TNEE83206D,SCUOLA PRIMARIA VERMIGLIO,True,False,False,False,Via Senatore Kessler 5,,46.29775928,10.69060358,VERMIGLIO,62
222132102,TNEE83207E,SCUOLA PRIMARIA PASSO TONALE,True,False,False,False,Via Nazionale 12/C,,46.25923567,10.58521419,VERMIGLIO,19
221362104,TNEE83204B,SCUOLA PRIMARIA COGOLO DI PEIO,True,False,False,False,Via Rosmini 6,,46.36437261,10.67353757,PEIO,81
220642101,TNEE83208G,SCUOLA PRIMARIA COMMEZZADURA,True,False,False,False,Via Del Comun 5,,46.32142457,10.83729498,COMMEZZADURA,67
221153001,TN1M001004,SCUOLA SECONDARIA DI PRIMO GRADO SANTA CROCE MEZZANO,False,True,False,False,Via Molaren 29,,,,MEZZANO,71
221152102,TN1E00200P,SCUOLA PRIMARIA SANTA CROCE MEZZANO,True,False,False,False,Via Molaren 29,,,,MEZZANO,71
221163001,TNMM82301C,"SCUOLA SECONDARIA DI PRIMO GRADO ""E. CHINI"" MEZZOCORONA",False,True,False,False,Via Dante 9,,46.216552,11.09252181,MEZZOCORONA,340
221672101,TNEE82302E,"SCUOLA PRIMARIA ""F. BIASI"" S.MICHELE ALL'ADIGE",True,False,False,False,Via Biasi 1,,46.19341855,11.13302859,SAN MICHELE ALL'ADIGE,143
221162101,TNEE82304L,"SCUOLA PRIMARIA ""A. DEGASPERI"" MEZZOCORONA",True,False,False,False,Via Dante 9,,46.21548588,11.11898989,MEZZOCORONA,290
221602101,TNEE82305N,"SCUOLA PRIMARIA ""F.LLI BRONZETTI"" ROVERE' DELLA LUNA",True,False,False,False,Via Rosmini 5/A,,46.24871527,11.16970421,ROVERE' DELLA LUNA,64
221672102,TNEE82301D,SCUOLA PRIMARIA GRUMO,True,False,False,False,Via Marconi 65,,46.19548313,11.12820522,SAN MICHELE ALL'ADIGE,82
220629902,,EDUCAZIONE LIBERA PER ADULTI,False,False,False,False,Via IV Novembre 35,,46.36885913,11.03294768,CLES,0
220052101,TNEE82406E,SCUOLA PRIMARIA ANDALO,True,False,False,False,Piazza S Vito 1,,46.16594078,11.00633075,ANDALO,70
220812101,TNEE82405D,"SCUOLA PRIMARIA ""Don L. Rossi"" FAI DELLA PAGANELLA",True,False,False,False,Via Villa 21,,46.17774271,11.07000349,FAI DELLA PAGANELLA,23
221202101,TNEE82407G,"SCUOLA PRIMARIA ""L. Nicolussi"" MOLVENO",True,False,False,False,Piazza Scuole 2,,46.1426156,10.96421149,MOLVENO,35
221802101,TNEE82408L,"SCUOLA PRIMARIA ""San G. Bosco"" SPORMAGGIORE",True,False,False,False,Via Alt Spaur 5,,46.21943776,11.04874002,SPORMAGGIORE,95
220053001,TNMM82403A,"SCUOLA SECONDARIA DI PRIMO GRADO ""C. Battisti"" ANDALO",False,True,False,False,Piazza S Vito 1,,46.16594078,11.00633075,ANDALO,95
221803001,TNMM82404B,SCUOLA SECONDARIA DI PRIMO GRADO SPORMAGGIORE,False,True,False,False,Via Alt Spaur 5,,46.21943776,11.04874002,SPORMAGGIORE,41
221172101,TNEE824019,"SCUOLA PRIMARIA ""C. DARWIN"" MEZZOLOMBARDO",True,False,False,False,Via Filos 3,,46.21359318,11.09245785,MEZZOLOMBARDO,384
222057111,TNPS01000V,LICEO SCIENTIFICO,False,False,True,False,Viale Bolognini 88,,46.06370881,11.1360572,TRENTO,527
222057130,TNPS01000V,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,False,False,True,False,Viale Bolognini 88,,46.06370881,11.1360572,TRENTO,375
222057112,TNPS02000D,LICEO SCIENTIFICO,False,False,True,False,Via Madruzzo 24,,46.06271509,11.12032636,TRENTO,625
222057134,TNPS02000D,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,False,False,True,False,Via Madruzzo 24,,46.06271509,11.12032636,TRENTO,870
222057213,TNPC04000G,LICEO CLASSICO,False,False,True,False,Via S Trinita 38,,46.06627324,11.12470189,TRENTO,401
221262101,TNEE82403B,SCUOLA PRIMARIA NAVE SAN ROCCO,True,False,False,False,Piazza S Rocco 15,,46.16670624,11.10974565,TERRE D'ADIGE,83
221173001,TNMM824018,"SCUOLA SECONDARIA DI PRIMO GRADO ""A. ECCHER DALL'ECO"" MEZZOLOMBARDO",False,True,False,False,Via Degli Alpini 17,,46.21227843,11.09672276,MEZZOLOMBARDO,276
221177104,TNPS00301R,LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE,False,False,True,False,Via Perlasca 4,,46.21765617,11.09397786,MEZZOLOMBARDO,150
221177105,TNPS00301R,LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE,False,False,True,False,Via Perlasca 4,,46.21765617,11.09397786,MEZZOLOMBARDO,156
221175403,TNTD00301L,ISTITUTO TECNICO PER IL SETTORE ECONOMICO,False,False,True,False,Via Perlasca 4,,46.21765617,11.09397786,MEZZOLOMBARDO,258
221175404,TNTD00301L,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,False,False,True,False,Via Perlasca 4,,46.21765617,11.09397786,MEZZOLOMBARDO,153
