data_rilevamento,scuola_primaria,percentuale_primaria,scuola_secondaria_primo_grado,percentuale_secondaria_primo_grado,scuola_secondaria_secondo_grado,percentuale_secondaria_grado
24/01/2022,112,0.4,69,0.4,143,0.5
17/01/2022,38,0.1,30,0.2,81,0.3
10/01/2022,0,0.0,0,0.0,0,0.0
27/12/2021,16,0.1,10,0.1,9,0.0
20/12/2021,21,0.1,10,0.1,8,0.0
13/12/2021,23,0.1,12,0.1,3,0.0
06/12/2021,13,0.1,12,0.1,3,0.0
29/11/2021,9,0.0,8,0.0,2,0.0
23/11/2021,8,0.0,4,0.0,4,0.0
15/11/2021,2,0.0,1,0.0,1,0.0
07/11/2021,1,0.0,0,0.0,0,0.0
02/11/2021,0,0.0,4,0.0,1,0.0
25/10/2021,2,0.0,2,0.0,1,0.0
18/10/2021,1,0.0,1,0.0,0,0.0
11/10/2021,1,0.0,1,0.0,1,0.0
04/10/2021,1,0.0,0,0.0,0,0.0
27/09/2021,1,0.0,0,0.0,0,0.0
20/09/2021,1,0.0,0,0.0,0,0.0
07/06/2021,9,0.0,7,0.0,6,0.0
31/05/2021,16,0.1,10,0.1,15,0.0
24/05/2021,22,0.1,12,0.1,20,0.1
17/05/2021,21,0.1,18,0.1,25,0.1
12/05/2021,18,0.1,13,0.1,18,0.1
03/05/2021,25,0.1,16,0.1,18,0.1
26/04/2021,32,0.1,21,0.1,22,0.1
19/04/2021,19,0.1,14,0.1,10,0.0
12/04/2021,4,0.0,3,0.0,5,0.0
06/04/2021,3,0.0,1,0.0,9,0.0
22/03/2021,26,0.1,20,0.1,28,0.1
15/03/2001,45,0.2,39,0.2,57,0.2
09/03/2001,12,0.0,19,0.1,38,0.1
01/03/2021,5,0.0,5,0.0,44,0.1
23/02/2021,1,0.0,3,0.0,35,0.1
16/02/2021,2,0.0,3,0.0,36,0.1
09/02/2021,6,0.0,2,0.0,17,0.1
