Regione;Sessione 1;Sessione 2;Sessione 3;Sessione 4;Sessione 5;Sessione 6;Sessione 7;Sessione 9
Abruzzo;96,6;76,4;77,5;213,4;490,9;658,3;821,2;6182,8
Basilicata;136,9;299,0;61,5;131,3;156,5;335,3;774,0;2844,4
Calabria;179,9;171,1;146,7;257,3;283,2;497,0;763,9;1231,4
Campania;131,8;101,7;154,7;310,1;447,7;589,9;804,3;5050,0
Emilia-Romagna;208,0;181,7;205,2;295,3;584,4;991,1;1486,4;6890,6
"Friuli-Venezia
Giulia";153,2;113,7;175,5;570,9;1036,8;1358,1;1384,1;3355,2
Lazio;131,7;123,9;163,8;285,9;572,1;803,0;1146,0;3952,0
Liguria;101,1;116,9;95,8;140,0;594,8;903,2;1495,9;6272,0
Lombardia;99,0;76,4;82,6;141,3;417,5;725,1;1151,9;6680,0
Marche;156,0;141,9;96,8;198,3;483,1;833,6;968,0;3618,4
Molise;75,6;43,2;37,8;151,2;302,4;367,2;145,8;3153,7
Piemonte;104,4;82,5;97,0;147,9;329,7;702,3;1220,0;5425,1
P.A. Bolzano;357,2;274,6;223,2;580,4;1372,9;2145,3;1982,4;817,1
P.A. Trento;100;100,0;114,0;211,7;283,8;686,2;909,5;5861,6
Puglia;70,7;64,4;100,6;157,3;166,4;217,1;433,4;5382,1
Sardegna;66,2;59,2;30,6;54,3;186,6;308,1;567,8;1944,2
Sicilia;240,6;172,4;163,9;181,7;292,0;454,2;682,1;1297,1
Toscana;200,6;160,7;157,9;304,9;385,2;552,9;921,3;2628,4
Umbria;182,6;108,6;167,8;281,3;299,4;439,2;880,0;6087,9
Valle d'Aosta;54,4;272,1;119,7;87,1;1055,8;1284,4;1023,2;6748,7
Veneto;207,2;169,7;207,7;321,4;687,3;1313,7;2028,2;5630,3
Italia;147,2;122,5;136,7;233,4;450,2;726,2;1086,5;4748,8
