Giorni;Deceduti;;;;;
114;9;;;;;
115;6;;;;;
116;7;;;;;
117;7;;;;;
118;4;;;;;
119;3;;;;;
120;1;;;;;
121;5;;;;;
122;7;;;;;
123;8;;;;;
124;7;;;;;
125;2;;;;;
126;5;;;;;
127;7;;;;;
128;6;;;;;
129;5;;;;;
130;6;;;;;
131;6;;;;;
132;5;;;;;
133;3;;;;;
134;3;;;;;
135;6;;;;;
136;7;;;;;
137;4;;;;;
138;1;;;;;
139;1;;;;;
140;2;;;;;
141;3;;;;;
142;3;;;;;
143;1;;;;;
144;2;;;;;
145;4;;;;;
146;5;;;;;
147;3;;;;;
148;7;;;;;
149;4;;;;;
150;2;;;;;
151;2;;;;;
152;6;;;;;
153;2;;;;;
154;3;;;;;
155;1;;;;;
156;3;;;;;
157;1;;;;;
158;0;;;;;
159;2;;;;;
160;1;;;;;
161;4;;;;;
162;1;;;;;
163;3;;;;;
164;1;;;;;
165;3;;;;;
166;2;;;;;
167;3;;;;;
168;5;;;;;
169;6;;;;;
170;2;;;;;
171;4;;;;;
172;0;;;;;
173;2;;;;;
174;2;;;;;
175;0;;;;;
176;4;;;;;
177;3;;;;;
178;1;;;;;
179;2;;;;;
180;0;;;;;
181;5;;;;;
182;0;;;;;
183;1;;;;;
184;1;;;;;
185;3;;;;;
186;4;;;;;
187;1;;;;;
188;4;;;;;
189;3;;;;;
190;1;;;;;
191;0;;;;;
192;1;;;;;
193;1;;;;;
194;7;;;;;
195;1;;;;;
196;2;;;;;
197;0;;;;;
198;2;;;;;
199;1;;;;;
200;1;;;;;
201;2;;;;;
202;0;;;;;
203;0;;;;;
204;4;;;;;
205;1;;;;;
206;4;;;;;
207;2;;;;;
208;0;;;;;
209;0;;;;;
210;2;;;;;
211;4;;;;;
212;2;;;;;
213;2;;;;;
214;0;;;;;
215;0;;;;;
216;2;;;;;
217;1;;;;;
218;4;;;;;
219;2;;;;;
220;2;;;;;
221;1;;;;;
222;2;;;;;
223;0;;;;;
224;3;;;;;
225;2;;;;;
226;3;;;;;
227;2;;;;;
228;0;;;;;
229;1;;;;;
230;2;;;;;
231;1;;;;;
232;1;;;;;
233;1;;;;;
234;1;;;;;
235;0;;;;;
236;3;;;;;
237;1;;;;;
238;1;;;;;
239;3;;;;;
240;0;;;;;
241;2;;;;;
242;2;;;;;
243;0;;;;;
244;0;;;;;
245;2;;;;;
246;1;;;;;
247;2;;;;;
248;4;;;;;
249;1;;;;;
250;3;;;;;
251;3;;;;;
252;0;;;;;
253;0;;;;;
254;2;;;;;
255;0;;;;;
256;1;;;;;
257;1;;;;;
258;1;;;;;
259;0;;;;;
260;2;;;;;
261;1;;;;;
262;2;;;;;
263;1;;;;;
264;1;;;;;
265;1;;;;;
266;1;;;;;
267;4;;;;;
268;3;;;;;
269;1;;;;;
270;1;;;;;
271;1;;;;;
272;3;;;;;
273;1;;;;;
274;1;;;;;
275;3;;;;;
276;2;;;;;
277;0;;;;;
278;0;;;;;
279;0;;;;;
280;0;;;;;
281;0;;;;;
282;0;;;;;
283;1;;;;;
284;0;;;;;
285;0;;;;;
286;0;;;;;
287;0;;;;;
288;1;;;;;
289;1;;;;;
290;2;;;;;
291;3;;;;;
292;1;;;;;
293;0;;;;;
294;1;;;;;
295;0;;;;;
296;2;;;;;
297;1;;;;;
298;1;;;;;
299;0;;;;;
300;2;;;;;
301;1;;;;;
302;0;;;;;
303;2;;;;;
304;2;;;;;
305;0;;;;;
306;2;;;;;
307;0;;;;;
308;1;;;;;
309;1;;;;;
310;2;;;;;
311;3;;;;;
312;1;;;;;
313;1;;;;;
314;0;;;;;
315;0;;;;;
316;0;;;;;
317;1;;;;;
318;0;;;;;
319;1;;;;;
320;1;;;;;
321;1;;;;;
322;1;;;;;
323;3;;;;;
324;0;;;;;
325;0;;;;;
326;1;;;;;
327;0;;;;;
328;1;;;;;
329;0;;;;;
330;1;;;;;
331;0;;;;;
332;1;;;;;
333;1;;;;;
334;1;;;;;
335;1;;;;;
336;0;;;;;
337;1;;;;;
338;1;;;;;
339;2;;;;;
340;1;;;;;
341;0;;;;;
342;1;;;;;
343;0;;;;;
344;0;;;;;
345;0;;;;;
346;1;;;;;
347;0;;;;;
348;1;;;;;
349;0;;;;;
350;0;;;;;
351;1;;;;;
352;0;;;;;
353;1;;;;;
354;1;;;;;
355;0;;;;;
356;1;;;;;
357;0;;;;;
358;1;;;;;
359;0;;;;;
360;0;;;;;
361;0;;;;;
362;0;;;;;
363;1;;;;;
364;0;;;;;
365;1;;;;;
366;0;;;;;
367;0;;;;;
368;0;;;;;
369;0;;;;;
370;1;;;;;
371;1;;;;;
372;0;;;;;
373;1;;;;;
374;1;;;;;
375;0;;;;;
376;1;;;;;
377;0;;;;;
378;1;;;;;
379;0;;;;;
380;1;;;;;
381;0;;;;;
382;1;;;;;
383;0;;;;;
384;0;;;;;
385;0;;;;;
386;0;;;;;
387;1;;;;;
388;0;;;;;
389;0;;;;;
390;0;;;;;
391;0;;;;;
392;0;;;;;
393;0;;;;;
394;0;;;;;
395;0;;;;;
396;0;;;;;
397;0;;;;;
398;1;;;;;
399;0;;;;;
400;1;;;;;
401;0;;;;;
402;0;;;;;
403;0;;;;;
404;0;;;;;
405;0;;;;;
406;0;;;;;
407;0;;;;;
408;0;;;;;
409;0;;;;;
410;0;;;;;
411;1;;;;;
412;0;;;;;
413;0;;;;;
414;0;;;;;
415;0;;;;;
416;1;;;;;
417;0;;;;;
418;0;;;;;
419;0;;;;;
420;0;;;;;
421;0;;;;;
422;0;;;;;
423;0;;;;;
424;0;;;;;
425;0;;;;;
426;0;;;;;
427;0;;;;;
428;0;;;;;
429;1;;;;;
430;0;;;;;
431;0;;;;;
432;0;;;;;
433;0;;;;;
434;0;;;;;
435;0;;;;;
436;0;;;;;
437;0;;;;;
438;0;;;;;
439;0;;;;;
440;0;;;;;
441;0;;;;;
442;0;;;;;
443;0;;;;;
444;0;;;;;
445;0;;;;;
446;0;;;;;
447;0;;;;;
448;0;;;;;
449;0;;;;;
450;0;;;;;
451;0;;;;;
452;0;;;;;
453;0;;;;;
454;0;;;;;
455;0;;;;;
456;0;;;;;
457;0;;;;;
458;0;;;;;
459;0;;;;;
460;0;;;;;
461;0;;;;;
462;0;;;;;
