Settimana;Data;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-07;15-21 febbraio;Val D'Aosta;3;14;4.537;3,09;-;-;1;32,26;11;3,52;2;1,45
2021-07;15-21 febbraio;Lombardia;161;480;209.555;2,29;70;5,15;68;2,38;283;2,35;59;1,26
2021-07;15-21 febbraio;P.A. di Bolzano;6;5;8.008;0,62;1;0,91;1;0,48;3;0,85;-;-
2021-07;15-21 febbraio;P. A. di Trento;5;8;5.235;1,53;-;-;-;-;7;1,85;1;0,76
2021-07;15-21 febbraio;Veneto;53;35;69.042;0,51;2;0,52;5;0,49;25;0,63;3;0,2
2021-07;15-21 febbraio;Friuli V.G.;4;9;5.302;1,7;-;-;-;-;8;3,6;1;0,97
2021-07;15-21 febbraio;Liguria;25;92;31.926;2,88;29;23,13;22;6,64;36;1,99;5;0,54
2021-07;15-21 febbraio;Emilia Romagna;24;71;25.942;2,74;24;7,98;18;2,76;26;2,3;3;0,59
2021-07;15-21 febbraio;Toscana;27;77;45.809;1,68;22;8,37;21;3,09;29;1,24;5;0,38
2021-07;15-21 febbraio;Umbria;9;13;9.569;1,36;6;10,17;6;3,83;1;0,18;-;-
2021-07;15-21 febbraio;Marche;16;12;20.772;0,58;-;-;1;0,27;9;0,78;2;0,47
2021-07;15-21 febbraio;Lazio;205;364;254.047;1,43;48;4,76;47;1,85;230;1,45;39;0,65
2021-07;15-21 febbraio;Abruzzo;37;94;43.299;2,17;11;2,59;16;1,77;51;2,31;16;2,03
2021-07;15-21 febbraio;Molise;8;8;6.996;1,14;4;15,38;4;8,3;-;-;-;-
2021-07;15-21 febbraio;Campania;16;41;20.522;2;13;6,35;22;5,07;6;0,54;-;-
2021-07;15-21 febbraio;Puglia;95;227;126.725;1,79;36;6,92;36;3,09;128;1,59;27;0,92
2021-07;15-21 febbraio;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-07;15-21 febbraio;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-07;15-21 febbraio;Sicilia;115;147;137.045;1,07;15;2,91;22;1,63;86;1,02;24;0,71
2021-07;15-21 febbraio;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-08;22-28 febbraio;Piemonte;46;163;68.750;2,37;18;4,72;27;2,08;103;2,81;15;0,98
2021-08;22-28 febbraio;Val D'Aosta;2;1;3.097;0,32;-;-;-;-;1;0,47;-;-
2021-08;22-28 febbraio;Lombardia;156;579;197.198;2,94;78;5,47;92;2,88;348;3,19;61;1,46
2021-08;22-28 febbraio;P.A. di Bolzano;5;8;7.216;1,11;2;2,19;-;-;4;1,14;2;1,55
2021-08;22-28 febbraio;P. A. di Trento;11;13;13.861;0,94;-;-;-;-;10;1,12;3;0,84
2021-08;22-28 febbraio;Veneto;53;44;67.989;0,65;11;2,43;5;0,45;23;0,6;5;0,35
2021-08;22-28 febbraio;Friuli V.G.;3;6;3.697;1,62;-;-;-;-;4;3,09;2;5,36
2021-08;22-28 febbraio;Liguria;21;36;26.755;1,35;8;8,54;6;2,37;17;1,11;5;0,63
2021-08;22-28 febbraio;Emilia Romagna;21;69;23.961;2,88;19;7,06;10;1,51;35;3,43;5;1,13
2021-08;22-28 febbraio;Toscana;25;94;42.418;2,22;29;11,04;27;3,99;35;1,63;3;0,26
2021-08;22-28 febbraio;Umbria;10;18;11.657;1,54;7;8,09;7;3,09;4;0,62;-;-
2021-08;22-28 febbraio;Marche;15;27;19.841;1,36;1;0,98;1;0,33;22;1,92;3;0,7
2021-08;22-28 febbraio;Lazio;189;309;232.059;1,33;44;4,53;45;1,86;190;1,32;30;0,55
2021-08;22-28 febbraio;Abruzzo;39;75;44.234;1,7;11;2,18;4;0,36;48;2,32;12;1,59
2021-08;22-28 febbraio;Molise;8;6;6.996;0,86;2;7,69;2;4,15;1;0,23;1;0,52
2021-08;22-28 febbraio;Campania;18;13;22.522;0,58;-;-;1;0,21;10;0,82;2;0,69
2021-08;22-28 febbraio;Puglia;80;192;103.664;1,85;34;6,9;32;3,11;99;1,54;27;1,12
2021-08;22-28 febbraio;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-08;22-28 febbraio;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-08;22-28 febbraio;Sicilia;87;130;105.130;1,24;7;1,83;15;1,46;78;1,2;30;1,16
2021-08;22-28 febbraio;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-09;1-7 marzo;Piemonte;38;161;56.004;2,87;20;4,79;24;1,74;89;3,33;28;2,47
2021-09;1-7 marzo;Val D'Aosta;3;16;4.520;3,54;-;-;1;25,64;13;4,11;2;1,52
2021-09;1-7 marzo;Lombardia;116;440;156.172;2,82;71;6,71;64;2,72;255;2,9;50;1,46
2021-09;1-7 marzo;P.A. di Bolzano;6;5;8.008;0,62;3;2,74;1;0,48;1;0,28;-;-
2021-09;1-7 marzo;P. A. di Trento;7;15;8.617;1,74;3;5,86;5;3,13;6;1,29;1;0,54
2021-09;1-7 marzo;Veneto;37;42;46.546;0,9;7;1,97;10;1,15;22;0,89;3;0,32
2021-09;1-7 marzo;Friuli V.G.;5;5;6.504;0,77;-;-;-;-;5;2,25;-;-
2021-09;1-7 marzo;Liguria;8;9;10.514;0,86;2;3,41;-;-;7;1,25;-;-
2021-09;1-7 marzo;Emilia Romagna;17;47;18.870;2,49;13;5,05;3;0,5;25;3,37;6;2,09
2021-09;1-7 marzo;Toscana;25;92;40.120;2,29;27;11,63;24;4,05;31;1,48;10;0,91
2021-09;1-7 marzo;Umbria;7;10;7.137;1,4;2;3,39;2;1,33;6;1,58;-;-
2021-09;1-7 marzo;Marche;15;32;19.204;1,67;2;1,43;-;-;30;2,94;-;-
2021-09;1-7 marzo;Lazio;153;271;186.125;1,46;34;3,87;42;1,95;171;1,51;24;0,56
2021-09;1-7 marzo;Abruzzo;26;68;31.004;2,19;5;1,48;5;0,73;47;3,07;11;2,01
2021-09;1-7 marzo;Molise;7;2;5.446;0,37;1;4;1;2,36;-;-;-;-
2021-09;1-7 marzo;Campania;14;30;16.343;1,84;10;3,83;14;2,95;5;0,69;1;0,56
2021-09;1-7 marzo;Puglia;64;135;82.630;1,63;28;7,63;25;3,1;65;1,27;17;0,87
2021-09;1-7 marzo;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-09;1-7 marzo;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-09;1-7 marzo;Sicilia;78;127;92.758;1,37;9;2,78;20;2,27;67;1,17;31;1,32
2021-09;1-7 marzo;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-10;8-14 marzo;Piemonte;32;155;49.372;3,14;14;3,67;19;1,49;100;4,4;22;2,18
2021-10;8-14 marzo;Val D'Aosta;3;5;4.633;1,08;-;-;-;-;2;0,63;3;2,14
2021-10;8-14 marzo;Lombardia;148;500;189.007;2,65;53;4,15;43;1,49;339;3,19;65;1,58
2021-10;8-14 marzo;P.A. di Bolzano;6;6;8.008;0,75;1;0,91;3;1,44;2;0,57;-;-
2021-10;8-14 marzo;P. A. di Trento;6;15;7.549;1,99;2;8,13;2;1,95;11;2,39;-;-
2021-10;8-14 marzo;Veneto;44;24;55.658;0,43;5;1,43;6;0,65;13;0,42;-;-
2021-10;8-14 marzo;Friuli V.G.;4;18;5.302;3,39;-;-;1;0,58;14;6,3;3;2,9
2021-10;8-14 marzo;Liguria;17;33;21.459;1,54;8;8,54;10;4,08;14;1,16;1;0,17
2021-10;8-14 marzo;Emilia Romagna;18;52;20.975;2,48;13;5,63;10;1,94;21;2,28;8;1,85
2021-10;8-14 marzo;Toscana;21;62;34.212;1,81;14;6,84;13;2,57;33;1,94;2;0,2
2021-10;8-14 marzo;Umbria;5;4;5.135;0,78;1;1,69;1;0,68;2;0,97;-;-
2021-10;8-14 marzo;Marche;14;18;18.059;1;1;1;1;0,33;13;1,31;3;0,73
2021-10;8-14 marzo;Lazio;191;272;235.202;1,16;23;2,41;37;1,52;181;1,24;31;0,56
2021-10;8-14 marzo;Abruzzo;31;71;34.817;2,04;7;1,75;7;0,84;49;2,95;8;1,35
2021-10;8-14 marzo;Molise;7;-;6.847;-;-;-;-;-;-;-;-;-
2021-10;8-14 marzo;Campania;9;19;10.919;1,74;3;1,67;8;2,64;8;1,63;-;-
2021-10;8-14 marzo;Puglia;69;180;88.919;2,02;37;7,85;44;4,24;73;1,33;26;1,37
2021-10;8-14 marzo;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-10;8-14 marzo;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-10;8-14 marzo;Sicilia;128;162;155.130;1,04;8;1,62;14;1,04;103;1,04;37;0,97
2021-10;8-14 marzo;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-11;15-21 marzo;Piemonte;33;111;51.824;2,14;7;1,83;10;0,77;77;3,13;17;1,62
2021-11;15-21 marzo;Val D'Aosta;4;19;6.073;3,13;-;-;-;-;16;3,8;3;1,65
2021-11;15-21 marzo;Lombardia;130;364;171.056;2,13;38;3,04;26;0,95;253;2,69;47;1,27
2021-11;15-21 marzo;P.A. di Bolzano;5;7;7.216;0,97;3;3,29;3;2,01;1;0,28;-;-
2021-11;15-21 marzo;P. A. di Trento;6;14;6.784;2,06;-;-;-;-;12;2,47;2;1,13
2021-11;15-21 marzo;Veneto;33;22;40.749;0,54;2;0,61;3;0,39;15;0,69;2;0,24
2021-11;15-21 marzo;Friuli V.G.;4;12;5.302;2,26;-;-;1;0,58;3;1,35;8;7,74
2021-11;15-21 marzo;Liguria;15;43;19.048;2,26;19;11,79;19;4,99;5;0,54;-;-
2021-11;15-21 marzo;Emilia Romagna;17;33;19.810;1,67;7;3,64;4;0,83;17;1,88;5;1,23
2021-11;15-21 marzo;Toscana;22;49;36.861;1,33;14;7,07;8;1,57;20;1,04;7;0,66
2021-11;15-21 marzo;Umbria;6;2;5.347;0,37;1;1,69;1;0,66;-;-;-;-
2021-11;15-21 marzo;Marche;15;13;18.648;0,7;1;0,65;-;-;11;1,2;1;0,27
2021-11;15-21 marzo;Lazio;186;255;228.049;1,12;25;2,65;24;1,02;177;1,26;29;0,54
2021-11;15-21 marzo;Abruzzo;32;50;35.873;1,39;9;2,22;6;0,71;27;1,57;8;1,3
2021-11;15-21 marzo;Molise;8;-;6.996;-;-;-;-;-;-;-;-;-
2021-11;15-21 marzo;Campania;14;30;16.033;1,87;4;1,85;12;2,89;14;1,82;-;-
2021-11;15-21 marzo;Puglia;56;129;73.664;1,75;19;5,46;20;2,56;76;1,67;14;0,83
2021-11;15-21 marzo;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-11;15-21 marzo;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-11;15-21 marzo;Sicilia;116;189;137.891;1,37;14;3,09;23;1,84;106;1,22;46;1,35
2021-11;15-21 marzo;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-12;22-28 marzo;Piemonte;40;114;60.079;1,9;4;0,92;6;0,43;87;2,95;17;1,37
2021-12;22-28 marzo;Val D'Aosta;3;19;4.537;4,19;-;-;-;-;12;3,84;7;5,08
2021-12;22-28 marzo;Lombardia;130;317;169.184;1,87;28;2,4;15;0,59;216;2,28;58;1,57
2021-12;22-28 marzo;P.A. di Bolzano;5;6;7.216;0,83;3;3,29;3;2,01;-;-;-;-
2021-12;22-28 marzo;P. A. di Trento;5;10;6.022;1,66;2;-;-;-;8;1,83;-;-
2021-12;22-28 marzo;Veneto;43;34;54.381;0,63;6;1,57;4;0,44;22;0,74;2;0,17
2021-12;22-28 marzo;Friuli V.G.;4;5;5.202;0,96;-;-;-;-;5;2,25;-;-
2021-12;22-28 marzo;Liguria;13;31;16.367;1,89;10;10,67;7;2,92;13;1,5;1;0,23
2021-12;22-28 marzo;Emilia Romagna;18;27;19.335;1,4;9;3,57;3;0,47;13;1,73;2;0,68
2021-12;22-28 marzo;Toscana;23;46;38.779;1,19;12;5,1;7;1,18;22;1,14;5;0,44
2021-12;22-28 marzo;Umbria;4;2;3.655;0,55;-;-;1;0,69;1;0,8;-;-
2021-12;22-28 marzo;Marche;17;9;21.090;0,43;-;-;-;-;9;0,88;-;-
2021-12;22-28 marzo;Lazio;184;169;227.647;0,74;10;1,13;15;0,68;122;0,86;22;0,41
2021-12;22-28 marzo;Abruzzo;30;41;33.380;1,23;9;2,33;7;0,9;20;1,24;5;0,88
2021-12;22-28 marzo;Molise;8;-;6.996;-;-;-;-;-;-;-;-;-
2021-12;22-28 marzo;Campania;12;10;14.558;0,69;1;0,52;3;0,81;6;0,83;-;-
2021-12;22-28 marzo;Puglia;62;108;78.834;1,37;11;2,59;17;1,86;58;1,23;22;1,19
2021-12;22-28 marzo;Basilicata;11;-;13.418;-;-;-;-;-;-;-;-;-
2021-12;22-28 marzo;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-12;22-28 marzo;Sicilia;127;146;152.154;0,96;10;1,93;21;1,52;80;0,83;35;0,94
2021-12;22-28 marzo;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-13;29 marzo - 4 aprile;Piemonte;39;115;53.840;2,14;4;2,19;3;0,76;78;2,33;30;2,05
2021-13;29 marzo - 4 aprile;Val D'Aosta;2;1;3.080;0,32;-;-;-;-;1;0,47;-;-
2021-13;29 marzo - 4 aprile;Lombardia;115;250;149.526;1,67;13;1,29;14;0,64;177;2,09;46;1,4
2021-13;29 marzo - 4 aprile;P.A. di Bolzano;4;6;6.033;0,99;4;8,83;1;1,26;1;0,29;-;-
2021-13;29 marzo - 4 aprile;P. A. di Trento;4;8;4.915;1,63;-;-;-;-;8;2,32;-;-
2021-13;29 marzo - 4 aprile;Veneto;34;12;42.362;0,28;2;0,59;-;-;10;0,44;-;-
2021-13;29 marzo - 4 aprile;Friuli V.G.;3;1;3.697;0,27;-;-;-;-;-;-;1;2,68
2021-13;29 marzo - 4 aprile;Liguria;13;21;16.597;1,27;2;3,41;1;0,58;15;1,59;3;0,62
2021-13;29 marzo - 4 aprile;Emilia Romagna;14;17;15.708;1,08;4;2,43;5;1,26;7;1,03;1;0,31
2021-13;29 marzo - 4 aprile;Toscana;25;41;41.929;0,98;13;5,6;11;1,85;17;0,78;-;-
2021-13;29 marzo - 4 aprile;Umbria;3;1;2.080;0,48;-;-;1;0,7;-;-;-;-
2021-13;29 marzo - 4 aprile;Marche;14;7;17.657;0,4;-;-;-;-;7;0,76;-;-
2021-13;29 marzo - 4 aprile;Lazio;187;159;229.010;0,69;13;1,44;16;0,7;106;0,74;24;0,44
2021-13;29 marzo - 4 aprile;Abruzzo;33;37;36.430;1,02;8;1,94;-;-;22;1,27;7;1,16
2021-13;29 marzo - 4 aprile;Molise;7;-;6.626;-;-;-;-;-;-;-;-;-
2021-13;29 marzo - 4 aprile;Campania;12;3;14.496;0,21;-;-;2;0,7;1;0,13;-;-
2021-13;29 marzo - 4 aprile;Puglia;50;85;62.072;1,37;8;2,18;11;1,31;49;1,35;17;1,24
2021-13;29 marzo - 4 aprile;Basilicata;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-13;29 marzo - 4 aprile;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-13;29 marzo - 4 aprile;Sicilia;112;151;134.420;1,12;9;2,2;16;1,42;101;1,18;25;0,74
2021-13;29 marzo - 4 aprile;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-14;5-11 aprile;Piemonte;54;139;70.874;1,96;8;1,98;9;1,12;92;2,22;30;1,72
2021-14;5-11 aprile;Val D'Aosta;3;13;4.537;2,87;-;-;-;-;9;2,88;4;2,9
2021-14;5-11 aprile;Lombardia;172;282;221.696;1,27;20;1,34;16;0,49;202;1,61;44;0,91
2021-14;5-11 aprile;P.A. di Bolzano;5;3;6.825;0,44;2;3,15;1;0,72;-;-;-;-
2021-14;5-11 aprile;P. A. di Trento;6;6;7.599;0,79;-;-;-;-;5;1,07;1;0,59
2021-14;5-11 aprile;Veneto;44;11;55.611;0,2;1;0,26;-;-;7;0,23;3;0,24
2021-14;5-11 aprile;Friuli V.G.;5;1;5.670;0,18;-;-;-;-;1;0,77;-;-
2021-14;5-11 aprile;Liguria;20;27;25.534;1,06;9;9,97;8;3,11;10;0,68;-;-
2021-14;5-11 aprile;Emilia Romagna;27;22;29.357;0,75;9;2,61;6;0,76;7;0,56;-;-
2021-14;5-11 aprile;Toscana;28;29;48.262;0,6;7;2,66;6;0,88;14;0,56;2;0,14
2021-14;5-11 aprile;Umbria;7;-;6.214;-;-;-;-;-;-;-;-;-
2021-14;5-11 aprile;Marche;15;3;18.642;0,16;-;-;-;-;3;0,33;-;-
2021-14;5-11 aprile;Lazio;207;172;254.542;0,68;17;1,67;13;0,5;121;0,76;21;0,35
2021-14;5-11 aprile;Abruzzo;38;50;42.693;1,17;6;1,38;10;1,12;26;1,19;8;1,06
2021-14;5-11 aprile;Molise;8;-;6.996;-;-;-;-;-;-;-;-;-
2021-14;5-11 aprile;Campania;21;8;24.841;0,32;1;0,28;4;0,58;3;0,26;-;-
2021-14;5-11 aprile;Puglia;93;139;121.170;1,15;11;1,91;14;1,1;96;1,28;18;0,65
2021-14;5-11 aprile;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-14;5-11 aprile;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-14;5-11 aprile;Sicilia;136;136;162.869;0,84;12;2,17;14;0,96;86;0,84;24;0,59
2021-14;5-11 aprile;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-15;12-18 aprile;Piemonte;40;98;53.489;1,83;6;1,72;5;0,84;70;2,26;17;1,3
2021-15;12-18 aprile;Val D'Aosta;1;4;1.544;2,59;-;-;-;-;4;3,76;-;-
2021-15;12-18 aprile;Lombardia;128;194;165.758;1,17;23;2,07;12;0,49;127;1,35;32;0,89
2021-15;12-18 aprile;P.A. di Bolzano;4;9;6.033;1,49;2;4,42;3;3,78;4;1,15;-;-
2021-15;12-18 aprile;P. A. di Trento;2;2;3.045;0,66;-;-;-;-;2;0,92;-;-
2021-15;12-18 aprile;Veneto;38;6;47.635;0,13;-;-;-;-;5;0,2;1;0,1
2021-15;12-18 aprile;Friuli V.G.;4;-;3.992;-;-;-;-;-;-;-;-;-
2021-15;12-18 aprile;Liguria;15;24;19.364;1,24;4;4,43;8;3,21;8;0,74;4;0,77
2021-15;12-18 aprile;Emilia Romagna;18;17;21.610;0,79;6;2,91;5;1,06;4;0,38;2;0,47
2021-15;12-18 aprile;Toscana;22;31;36.162;0,86;10;3,81;3;0,45;17;0,96;1;0,11
2021-15;12-18 aprile;Umbria;4;4;3.330;1,2;1;1,69;2;1,38;1;0,9;-;-
2021-15;12-18 aprile;Marche;9;6;12.573;0,48;-;-;-;-;6;0,74;-;-
2021-15;12-18 aprile;Lazio;199;180;245.125;0,73;20;2,01;13;0,52;120;0,79;27;0,47
2021-15;12-18 aprile;Abruzzo;28;43;32.544;1,32;5;1,6;10;1,59;22;1,28;6;1,02
2021-15;12-18 aprile;Molise;7;1;5.793;0,17;-;-;-;-;1;0,29;-;-
2021-15;12-18 aprile;Campania;18;4;21.418;0,19;-;-;2;0,35;2;0,2;-;-
2021-15;12-18 aprile;Puglia;54;93;71.450;1,3;9;3,03;15;2,24;53;1,18;16;0,95
2021-15;12-18 aprile;Basilicata;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-15;12-18 aprile;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-15;12-18 aprile;Sicilia;132;117;158.420;0,74;4;0,77;12;0,85;75;0,75;26;0,65
2021-15;12-18 aprile;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-16;19-25 aprile;Piemonte;35;56;47.232;1,19;5;1,6;6;1,15;43;1,59;2;0,17
2021-16;19-25 aprile;Val D'Aosta;1;-;1.536;-;-;-;-;-;-;-;-;-
2021-16;19-25 aprile;Lombardia;139;180;181.071;0,99;16;1,52;8;0,34;120;1,14;36;0,86
2021-16;19-25 aprile;P.A. di Bolzano;5;8;6.825;1,17;2;3,15;2;1,44;3;0,85;1;0,77
2021-16;19-25 aprile;P. A. di Trento;2;5;3.143;1,59;-;-;-;-;5;2,22;-;-
2021-16;19-25 aprile;Veneto;48;11;60.138;0,18;-;-;-;-;11;0,34;-;-
2021-16;19-25 aprile;Friuli V.G.;3;-;3.697;-;-;-;-;-;-;-;-;-
2021-16;19-25 aprile;Liguria;18;25;22.680;1,1;5;5,54;4;1,59;13;1,04;3;0,45
2021-16;19-25 aprile;Emilia Romagna;12;16;13.870;1,15;8;4,68;4;1,08;3;0,52;1;0,37
2021-16;19-25 aprile;Toscana;22;46;35.735;1,29;13;5,6;10;1,69;16;0,9;7;0,72
2021-16;19-25 aprile;Umbria;4;2;2.902;0,69;-;-;2;1;-;-;-;-
2021-16;19-25 aprile;Marche;16;2;20.347;0,1;-;-;-;-;2;0,18;-;-
2021-16;19-25 aprile;Lazio;201;230;247.752;0,93;28;2,81;18;0,72;156;1,01;28;0,48
2021-16;19-25 aprile;Abruzzo;30;52;33.937;1,53;11;2,42;14;1,47;21;1,4;6;1,21
2021-16;19-25 aprile;Molise;5;-;3.694;-;-;-;-;-;-;-;-;-
2021-16;19-25 aprile;Campania;15;20;16.658;1,2;8;2,55;6;1,16;4;0,6;2;1,22
2021-16;19-25 aprile;Puglia;56;68;71.712;0,95;11;3,03;12;1,57;34;0,78;11;0,66
2021-16;19-25 aprile;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-16;19-25 aprile;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-16;19-25 aprile;Sicilia;138;90;165.767;0,54;6;1,04;5;0,33;59;0,57;20;0,49
2021-16;19-25 aprile;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
