Settimana;Data;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2020-53;28 dicembre - 3 gennaio;Umbria;8;9;8.517;1,06;3;5,08;3;1,92;3;0,68;-;-
2020-53;28 dicembre - 3 gennaio;Marche;2;4;2.704;1,48;-;-;-;-;3;1,59;1;1,38
2020-53;28 dicembre - 3 gennaio;Lazio;165;295;205.123;1,44;22;2,69;16;0,77;202;1,58;55;1,14
2020-53;28 dicembre - 3 gennaio;Abruzzo;32;55;93.228;0,59;5;1,48;4;0,61;38;0,50;8;1,20
2020-53;28 dicembre - 3 gennaio;Molise;8;-;6.996;-;-;-;-;-;-;-;-;-
2020-53;28 dicembre - 3 gennaio;Campania;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2020-53;28 dicembre - 3 gennaio;Puglia;64;151;83.131;1,82;19;4,65;9;1,03;96;1,88;27;1,41
2020-53;28 dicembre - 3 gennaio;Basilicata;9;-;10.975;-;-;-;-;-;-;-;-;-
2020-53;28 dicembre - 3 gennaio;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2020-53;28 dicembre - 3 gennaio;Sicilia;101;228;122.024;1,87;22;4,91;36;3,03;129;1,71;41;1,35
2020-53;28 dicembre - 3 gennaio;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-01;4-10 gennaio ;Piemonte;42;111;58.315;1,9;6;1,57;6;0,46;77;2,62;22;1,82
2021-01;4-10 gennaio ;Val D'Aosta;2;1;3.080;0,32;-;-;-;-;1;0,47;-;-
2021-01;4-10 gennaio ;Lombardia;140;241;181.933;1,32;21;1,49;17;0,56;159;1,61;44;1,14
2021-01;4-10 gennaio ;P.A. di Bolzano;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-01;4-10 gennaio ;P. A. di Trento;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-01;4-10 gennaio ;Veneto;40;20;52.605;0,38;-;-;-;-;16;0,54;4;0,34
2021-01;4-10 gennaio ;Friuli V.G.;4;12;5.302;2,26;-;-;-;-;8;3,6;4;3,87
2021-01;4-10 gennaio ;Liguria;23;31;27.893;1,11;2;1,49;1;0,33;23;1,52;5;0,6
2021-01;4-10 gennaio ;Emilia Romagna;19;26;21.390;1,22;8;3,76;-;-;13;1,4;5;1,04
2021-01;4-10 gennaio ;Toscana;22;47;36.374;1,29;12;4,57;10;1,49;20;1,15;5;0,52
2021-01;4-10 gennaio ;Umbria;9;12;9.775;1,23;5;5,78;4;1,77;3;0,62;-;-
2021-01;4-10 gennaio ;Marche;12;10;14.282;0,7;-;-;-;-;8;1,32;2;0,82
2021-01;4-10 gennaio ;Lazio;183;263;224.634;1,17;21;2,16;21;0,87;169;1,22;52;0,99
2021-01;4-10 gennaio ;Abruzzo;31;73;34.842;2,1;12;3,59;10;1,42;35;1,95;16;2,44
2021-01;4-10 gennaio ;Molise;4;1;3.324;0,3;-;-;-;-;1;0,44;-;-
