variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;native_case_last_45_days;imported_case;imported_case_last_45_days
B.1.1.7;27.493;48;35;0,4;13.735;49,5;20;0,5;13.758;46,6;15;0,4;27.243;32;250;3
B.1.1.7 + E484K;74;0,1;1;<0,1;36;0,1;1;<0,1;38;0,1;0;0;74;1;0;0
B.1.351;286;0,5;1;<0,1;134;0,5;0;0;152;0,5;1;<0,1;275;1;11;0
P.1;2.829;4,9;7;0,1;1.386;5;1;<0,1;1.443;4,9;6;0,1;2.795;5;34;2
B.1.617.2;19.215;33,6;7.241;87,7;8.893;32,1;3.506;87,4;10.322;35;3.735;88;18.021;6.880;1.194;361
B.1.525;447;0,8;0;0;175;0,6;0;0;272;0,9;0;0;365;0;82;0
B.1.617.1;292;0,5;103;1,2;140;0,5;60;1,5;152;0,5;43;1;290;103;2;0
B.1.617.3;33;0,1;25;0,3;21;0,1;16;0,4;12;<0,1;9;0,2;28;20;5;5
P.2;5;<0,1;0;0;1;<0,1;0;0;4;<0,1;0;0;5;0;0;0
Other;6.550;11,4;842;10,2;3.207;11,6;407;10,1;3.343;11,3;435;10,2;6.373;822;177;20
