variant;number_sequenced;percent_cases_sequenced
B.1.1.7;23.717;43,59
B.1.1.7 + E484K;26;0,05
Q.2;1597;2,94
B.1.351;68;0,12
B.1.351.3;41;0,08
P.1;608;1,12
P.1.1;1963;3,61
B.1.617.2;10328;18,98
AY.4;1865;3,43
AY.5;213;0,39
AY.6;92;0,17
AY.7.2;503;0,92
AY.9;388;0,71
AY.10;121;0,22
AY.12;337;0,62
AY.20;38;0,07
AY.21;296;0,54
AY.24;36;0,07
AY.25;39;0,07
B.1.525;448;0,82
B.1.621;66;0,12
Other;11614;21,35
