variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;14.103;36,27;29;0,51
B.1.1.7 + E484K;31;0,08;1;0,02
Q.1;46;0,12;0;0
Q.2;976;2,51;0;0
B.1.351;52;0,13;1;0,02
B.1.351.2;9;0,02;0;0
B.1.351.3;39;0,1;0;0
P.1;388;1;4;0,07
P.1.1;1.150;2,96;6;0,11
P.1.2;1;<0,00;0;0
P.1.4;3;0,01;0;0
P.1.7;290;0,75;0;0
B.1.617.2;9778;25,15;3347;58,58
AY.1;6;0,02;5;0,09
AY.3;6;0,02;3;0,05
AY.4;2.804;7,21;834;14,6
AY.5;177;0,46;101;1,77
AY.6;685;1,76;260;4,55
AY.7;272;0,7;92;1,61
AY.7.1;7;0,02;3;0,05
AY.7.2;110;0,28;91;1,59
AY.9;291;0,75;153;2,68
AY.10;14;0,04;9;0,16
AY.11;34;0,09;2;0,04
AY.12;2.066;5,31;622;10,89
AY.14;12;0,03;11;0,19
AY.15;2;0,01;2;0,04
AY.16;3;0,01;3;0,05
AY.17;4;0,01;3;0,05
AY.19;9;0,02;9;0,16
AY.20;21;0,05;18;0,32
AY.21;4;0,01;3;0,05
AY.22;1;0;1;0,02
AY.23;26;0,07;26;0,46
AY.24;8;0,02;2;0,04
AY.25;25;0,06;19;0,33
B.1.525;381;0,98;1;0,02
B.1.617.1;18;0,05;0;0
C.37;14;0,04;1;0,02
C.37.1;5;0,01;0;0
P.2;5;0,01;0;0
Other;5.007;12,88;52;0,91
