regione;n_laboratori;camponi_positivi;n_campioni_sequenziati;n_B-1-351;n_P-1;n_B.1-617-2;n_B-1-1-529;Other;percent_B-1-351;percent_P-1;percent_B.1-617-2;percent_B-1-1-529;Other
ABRUZZO;2;89;55;0;0;55;0;0;0;0;100;0;0
BASILICATA;2;7;7;0;0;7;0;0;0;0;100;0;0
CALABRIA;4;224;45;0;0;39;0;0;0;0;100;0;0
CAMPANIA;3;150;150;0;0;140;0;0;0;0;100;0;0
EMILIA ROMAGNA;3;106;106;0;0;105;1;0;0;0;99,1;0,9;0
FRIULI VENEZIA GIULIA;6;377;150;0;0;146;0;0;0;0;100;0;0
LAZIO;5;515;511;0;0;434;0;1;0;0;99,8;0;0,2
LIGURIA;9;247;57;0;0;53;0;0;0;0;100;0;0
LOMBARDIA;16;346;332;0;0;323;1;0;0;0;99,7;0,3;0
MARCHE;5;62;62;0;0;62;0;0;0;0;100;0;0
MOLISE;1;1;1;0;0;1;0;0;0;0;100;0;0
PA BOLZANO;1;61;58;0;0;58;0;0;0;0;100;0;0
PA TRENTO;1;15;15;0;0;14;0;0;0;0;100;0;0
PIEMONTE;11;96;96;0;0;93;0;0;0;0;100;0;0
PUGLIA;11;53;53;0;0;53;0;0;0;0;100;0;0
SARDEGNA;10;223;30;0;0;30;0;0;0;0;100;0;0
SICILIA;4;209;159;0;0;159;0;0;0;0;100;0;0
TOSCANA;3;155;73;0;0;71;0;0;0;0;100;0;0
UMBRIA;4;164;44;0;0;44;0;0;0;0;100;0;0
VALLE D'AOSTA;1;3;3;0;0;2;0;1;0;0;66,7;0;33,3
VENETO;12;234;234;0;0;232;2;0;0;0;99,1;0,9;0
ITALIA;114;3337;2241;0;0;2121;4;2;0;0;99,53;0,32;0,15
