;Sessione 5;;;Sessione 6;;;Sessione 7;;;Sessione 9;;;Sessione 10;;
Regione;Studenti testati;Positivi;"Positivi ogni cento
testati";Studenti testati;Positivi;"Positivi ogni cento
testati";Studenti testati;Positivi;"Positivi ogni cento
testati";Studenti testati;Positivi;"Positivi ogni cento
testati";Studenti testati;Positivi;"Positivi ogni cento
testati"
Abruzzo;1290;4;0,31;1332;6;0,45;1350;6;0,44;232;4;1,72;1053;17;1,61
Basilicata;104;0;0;179;0;0;-;-;-;-;-;-;-;-;-
Calabria;1045;3;0,29;507;0;0;497;0;0;408;0;0;355;4;1,13
Campania;1747;3;0,17;-;-;-;-;-;-;-;-;-;-;-;-
Emilia- Romagna;3473;3;0,09;2612;15;0,57;-;-;-;-;-;-;-;-;-
"Friuli- Venezia
Giulia";1367;5;0,37;601;2;0,33;745;5;0,67;76;3;3,95;-;-;-
Lazio;4847;10;0,21;4308;11;0,26;4252;16;0,38;1467;27;1,84;1313;30;2,28
Liguria;1278;5;0,39;854;0;0;839;1;0,12;150;4;2,67;-;-;-
Lombardia;8863;22;0,25;6897;21;0,3;5419;25;0,46;-;-;-;-;-;-
Marche;450;0;0;422;0;0;-;-;-;-;-;-;-;-;-
Molise;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
Piemonte;2321;6;0,26;2193;11;0,5;1981;25;1,26;-;-;-;-;-;-
"P.A.
Bolzano";570;0;0;539;4;0,74;353;2;0,57;285;4;1,4;-;-;-
P.A. Trento;563;3;0,53;532;10;1,88;554;11;1,99;656;37;5,64;234;18;7,69
Puglia;2523;6;0,24;2728;5;0,18;-;-;-;-;-;-;-;-;-
Sardegna;1276;1;0,08;1557;0;0;1467;2;0,14;-;-;-;-;-;-
Sicilia;3924;7;0,18;2251;9;0,4;3075;14;0,46;71;0;0;1095;15;1,37
Toscana;2704;4;0,15;2877;10;0,35;2358;9;0,38;2677;54;2,02;3044;53;1,74
Umbria;806;1;0,12;1117;11;0,98;448;3;0,67;-;-;-;-;-;-
"Valle
d'Aosta";115;1;0,87;95;4;4,21;81;2;2,47;69;2;2,9;-;-;-
Veneto;8285;8;0,1;7591;29;0,38;7101;22;0,31;-;-;-;-;-;-
Totale;47551;92;0,19;39192;148;0,38;30520;143;0,47;6091;135;2,21;7094;137;1,93
