variant;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
BA.1;6;0.14
BA.1.1;12;0.28
BA.1.1.1;1;0.02
BA.1.1.14;1;0.02
BA.1.16;1;0.02
BA.1.17.2;6;0.14
BA.1.18;1;0.02
BA.1.21.1;1;0.02
BA.1.8;1;0.02
BA.2;2182;50.03
BA.2.1;5;0.11
BA.2.10;22;0.50
BA.2.10.1;2;0.05
BA.2.11;2;0.05
BA.2.12;11;0.25
BA.2.12.1;130;2.98
BA.2.13;8;0.18
BA.2.14;1;0.02
BA.2.16;1;0.02
BA.2.17;1;0.02
BA.2.18;18;0.41
BA.2.19;1;0.02
BA.2.22;2;0.05
BA.2.23;32;0.73
BA.2.23.1;2;0.05
BA.2.24;6;0.14
BA.2.25;2;0.05
BA.2.3;174;3.99
BA.2.31;2;0.05
BA.2.32;1;0.02
BA.2.35;2;0.05
BA.2.36;47;1.08
BA.2.37;4;0.09
BA.2.38;8;0.18
BA.2.41;1;0.02
BA.2.5;2;0.05
BA.2.7;4;0.09
BA.2.9;415;9.52
BA.3.1;1;0.02
BA.4;331;7.59
BA.5;719;16.49
BA.5.1;7;0.16
XE;3;0.07
Unassigned;172;3.94
