variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;18.512;30,61;1;0,02
B.1.1.7 + E484K;32;0,05;0;0
Q.1;17;0,03;0;0
Q.2;1.007;1,67;0;0
Q.4;5;0,01;0;0
Q.7;1;<0,01;0;0
Q.8;7;0,01;0;0
20I (Alpha, V1);71;0,12;0;0
B.1.351;43;0,07;0;0
B.1.351.2;9;0,01;0;0
B.1.351.3;41;0,07;0;0
B.1.351.5;9;0,01;0;0
20H (Beta, V2);23;0,04;0;0
P.1;143;0,24;0;0
P.1.1;2.260;3,74;0;0
P.1.2;1;<0,01;0;0
P.1.10;1;<0,01;0;0
P.1.12;16;0,03;0;0
P.1.15;19;0,03;0;0
P.1.16;3;<0,01;0;0
P.1.17;3;<0,01;0;0
P.1.17.1;2;<0,01;0;0
20J (Gamma, V3);153;0,25;0;0
B.1.617.2;8.823;14,59;1199;22,89
AY.1;8;0,01;1;0,02
AY.3;23;0,04;8;0,15
AY.4;1.967;3,25;490;9,35
AY.4.1;17;0,03;4;0,08
AY.4.2;147;0,24;103;1,97
AY.4.3;151;0,25;15;0,29
AY.4.4;28;0,05;20;0,38
AY.4.5;343;0,57;65;1,24
AY.5;411;0,68;97;1,85
AY.5.2;71;0,12;8;0,15
AY.6;294;0,49;33;0,63
AY.7;24;0,04;1;0,02
AY.7.1;14;0,02;5;0,1
AY.7.2;844;1,4;16;0,31
AY.8;1;<0,01;0;0
AY.9;648;1,07;105;2
AY.10;15;0,02;3;0,06
AY.12;4;0,01;0;0
AY.13;2;<0,01;0;0
AY.14;39;0,06;6;0,11
AY.16;2;<0,01;1;0,02
AY.19;6;0,01;0;0
AY.20;4;0,01;3;0,06
AY.21;62;0,1;14;0,27
AY.22;282;0,47;0;0
AY.23;3;<0,01;0;0
AY.24;91;0,15;25;0,48
AY.25;20;0,03;1;0,02
AY.26;54;0,09;12;0,23
AY.27;16;0,03;1;0,02
AY.28;10;0,02;6;0,11
AY.29;7;0,01;3;0,06
AY.29.1;2;<0,01;1;0,02
AY.30;1;<0,01;0;0
AY.32;59;0,1;19;0,36
AY.33;316;0,52;56;1,07
AY.34;570;0,94;48;0,92
AY.35;5;0,01;1;0,02
AY.36;108;0,18;41;0,78
AY.37;408;0,67;51;0,97
AY.38;23;0,04;5;0,1
AY.39;1.214;2,01;228;4,35
AY.39.1;16;0,03;3;0,06
AY.40;13;0,02;0;0
AY.41;25;0,04;5;0,1
AY.42;1.194;1,97;135;2,58
AY.43;9.640;15,94;1666;31,8
AY.44;827;1,37;115;2,2
AY.45;47;0,08;16;0,31
AY.46;226;0,37;40;0,76
AY.46.1;17;0,03;6;0,11
AY.46.2;68;0,11;17;0,32
AY.46.4;3;<0,01;1;0,02
AY.46.5;4;0,01;3;0,06
AY.46.6;991;1,64;149;2,84
AY.47;653;1,08;84;1,6
21A (Delta);793;1,31;162;3,09
21I (Delta);184;0,3;17;0,32
21J (Delta);1.064;1,76;114;2,18
B.1.525;428;0,71;0;0
21D (Eta);45;0,07;0;0
B.1.617.1;20;0,03;0;0
C.37;14;0,02;0;0
C.37.1;4;0,01;0;0
P.2;5;0,01;0;0
Other;4.674;7,73;10;0,19
