variant;number_sequenced;percent_cases_sequenced
B.1.1.7;24.707;37,07
B.1.1.7 + E484K;30;0,04
Q.1;23;0,03
Q.2;1.613;2,42
Q.4;5;0,01
Q.7;1;0
Q.8;1;0
B.1.351;59;0,09
B.1.351.2;21;0,03
B.1.351.3;42;0,06
B.1.351.5;10;0,02
P.1;133;0,2
P.1.1;2.437;3,66
P.1.10;1;0
P.1.12;14;0,02
P.1.15;13;0,02
P.1.16;5;0,01
P.1.17;2;0
B.1.617.2;8.408;12,61
AY.1;8;0,01
AY.3;16;0,02
AY.4;1.859;2,8
AY.4.1;13;0,02
AY.4.2;134;0,2
AY.4.3;28;0,04
AY.4.4;21;0,03
AY.4.5;309;0,46
AY.5;329;0,5
AY.5.2;89;0,13
AY.6;428;0,64
AY.7;21;0,03
AY.7.1;13;0,02
AY.7.2;618;0,93
AY.9;573;0,9
AY.10;11;0,02
AY.12;5;0,01
AY.13;1;0
AY.14;37;0,06
AY.16;5;0,01
AY.19;4;0
AY.20;42;0,06
AY.21;288;0,43
AY.22;2;0
AY.23;57;0,09
AY.23.1;1;0
AY.24;24;0,04
AY.25;47;0,07
AY.26;16;0,02
AY.28;9;0,01
AY.29;4;0
AY.29.1;2;0
AY.30;3;0
AY.32;53;0,08
AY.33;219;0,33
AY.34;473;0,71
AY.35;5;0,01
AY.36;63;0,09
AY.37;347;0,52
AY.38;12;0,02
AY.39;580;0,87
AY.39.1;13;0,02
AY.40;12;0,02
AY.41;35;0,05
AY.42;1.040;1,56
AY.43;7.676;11,52
AY.44;233;0,35
AY.45;35;0,05
AY.46;183;0,27
AY.46.1;21;0,03
AY.46.2;19;0,03
AY.46.4;2;0
AY.46.6;1.080;1,62
AY.47;384;0,58
B.1.525;455;0,68
B.1.621;65;0,1
B.1.621.1;18;0,03
Totale mu;83;0,12
C.37;13;0,02
C.37.1;4;0
Other;11.060;16,59
