"flu_season","year_week","number_healthcare_workers","numbers_cases","pop","incidence","pop_age_0-4","cases_age_0-4","incidence_age_0-4","pop_age_5-14","cases_age_5-14","incidence_age_5-14","pop_age_15-64","cases_age_15-64","incidence_age_15-64","pop_age_65-plus","cases_age_65-plus","incidence_age_65-plus","number_samples","number_detections_FLU-A","number_detections_A","number_detections_A-H3N2","number_detections_A-H1N1-pdm09","number_detections_FLU-B","number_positive_SARS-CoV-2"
"2018-2019","2018-46",1101,2529,1425042,1.77,81136,329,4.05,192038,355,1.85,830910,1499,1.8,320958,346,1.08,193,7,NA,3,4,1,NA
"2018-2019","2018-47",1102,3031,1426304,2.13,81422,355,4.36,192999,405,2.1,830976,1894,2.28,320907,377,1.17,222,19,NA,13,6,NA,NA
"2018-2019","2018-48",1104,3405,1430097,2.38,80921,473,5.85,191495,523,2.73,835130,2014,2.41,322551,395,1.22,254,20,1,11,8,NA,NA
"2018-2019","2018-49",1101,3922,1425673,2.75,80752,543,6.72,191552,618,3.23,831948,2280,2.74,321421,481,1.5,320,19,NA,9,10,NA,NA
"2018-2019","2018-50",1104,4723,1428727,3.31,81988,710,8.66,192867,732,3.8,832414,2698,3.24,321458,583,1.81,346,35,NA,10,25,NA,NA
"2018-2019","2018-51",1096,5266,1418940,3.71,80031,785,9.81,189557,833,4.39,829301,3044,3.67,320051,604,1.89,410,55,1,22,32,NA,NA
"2018-2019","2018-52",1070,5897,1384353,4.26,78669,780,9.91,185784,927,4.99,808162,3395,4.2,311738,795,2.55,329,83,6,19,58,NA,NA
"2018-2019","2019-01",1088,8041,1405198,5.72,81056,969,11.95,191122,1089,5.7,817823,4973,6.08,315197,1010,3.2,462,142,3,41,98,NA,NA
"2018-2019","2019-02",1105,10907,1430734,7.62,81877,1364,16.66,193566,1680,8.68,833570,6608,7.93,321721,1255,3.9,658,267,15,82,170,3,NA
"2018-2019","2019-03",1099,14269,1421136,10.04,81747,2385,29.18,192189,2750,14.31,827210,7712,9.32,319990,1422,4.44,986,560,41,176,343,2,NA
"2018-2019","2019-04",1098,17714,1421086,12.47,81561,3016,36.98,192093,3686,19.19,827694,9566,11.56,319738,1446,4.52,1270,727,14,257,456,1,NA
"2018-2019","2019-05",1094,19893,1415062,14.06,81383,3386,41.61,192175,4521,23.53,823332,10320,12.53,318172,1666,5.24,1431,833,62,316,455,NA,NA
"2018-2019","2019-06",1088,18664,1407883,13.26,80781,3095,38.31,190698,4262,22.35,819698,9649,11.77,316706,1658,5.24,1563,918,84,391,443,NA,NA
"2018-2019","2019-07",1077,15613,1394174,11.2,79960,2530,31.64,188052,3502,18.62,812485,8123,10,313677,1458,4.65,1416,742,30,378,334,NA,NA
"2018-2019","2019-08",1065,12457,1378714,9.04,79089,2121,26.82,185438,2826,15.24,804225,6356,7.9,309962,1154,3.72,1294,661,81,342,238,2,NA
"2018-2019","2019-09",1055,8976,1365823,6.57,77493,1541,19.89,182504,1987,10.89,798341,4577,5.73,307485,871,2.83,924,468,54,298,116,NA,NA
"2018-2019","2019-10",1035,6424,1342497,4.79,75631,1007,13.31,177839,1304,7.33,786058,3442,4.38,302969,671,2.21,929,328,38,223,67,NA,NA
"2018-2019","2019-11",1017,4855,1316556,3.69,75074,831,11.07,175906,990,5.63,768483,2542,3.31,297093,492,1.66,667,192,17,138,37,NA,NA
"2018-2019","2019-12",992,3745,1285491,2.91,72391,593,8.19,170333,771,4.53,751379,1995,2.66,291388,386,1.32,422,139,16,102,21,NA,NA
"2018-2019","2019-13",968,2994,1255687,2.38,70522,450,6.38,166940,535,3.2,733217,1676,2.29,285008,333,1.17,406,62,3,45,14,NA,NA
"2018-2019","2019-14",914,2318,1183747,1.96,67308,359,5.33,157367,387,2.46,691181,1258,1.82,267891,314,1.17,328,41,4,32,5,NA,NA
"2018-2019","2019-15",840,1722,1092580,1.58,57370,286,4.99,135367,311,2.3,648819,929,1.43,251024,196,0.78,271,24,NA,18,6,NA,NA
"2018-2019","2019-16",740,1223,962102,1.27,48267,200,4.14,114638,199,1.74,576716,651,1.13,222481,173,0.78,203,13,2,8,3,NA,NA
"2018-2019","2019-17",609,747,790242,0.95,41375,82,1.98,97181,102,1.05,472534,473,1,179152,90,0.5,84,NA,4,NA,2,2,NA
"2019-2020","2019-42",1163,1582,1479582,1.07,83609,241,2.88,200566,189,0.94,854548,923,1.08,340859,229,0.67,NA,NA,NA,NA,NA,NA,NA
"2019-2020","2019-43",1162,1722,1478502,1.16,84750,249,2.94,202567,205,1.01,851845,1001,1.18,339340,267,0.79,NA,NA,NA,NA,NA,NA,NA
"2019-2020","2019-44",1174,1721,1496093,1.15,84304,201,2.38,201976,156,0.77,864428,1080,1.25,345385,284,0.82,NA,NA,NA,NA,NA,NA,NA
"2019-2020","2019-45",1174,2613,1495138,1.75,85494,289,3.38,204093,296,1.45,861900,1635,1.9,343651,393,1.14,NA,NA,NA,NA,NA,NA,NA
"2019-2020","2019-46",1177,3227,1499752,2.15,85427,359,4.2,204196,409,2,865038,2019,2.33,345091,440,1.28,307,3,NA,2,1,NA,NA
"2019-2020","2019-47",1179,3572,1502521,2.38,85887,407,4.74,204899,467,2.28,866152,2168,2.5,345583,530,1.53,514,3,NA,1,2,1,NA
"2019-2020","2019-48",1179,3596,1503993,2.39,85879,434,5.05,204857,485,2.37,867449,2210,2.55,345808,467,1.35,383,15,NA,9,6,3,NA
"2019-2020","2019-49",1176,4509,1498767,3.01,85875,593,6.91,203376,635,3.12,864507,2764,3.2,345009,517,1.5,544,26,1,22,3,1,NA
"2019-2020","2019-50",1174,5225,1496650,3.49,85875,726,8.45,203243,814,4.01,862908,3083,3.57,344624,602,1.75,444,38,NA,27,11,7,NA
"2019-2020","2019-51",1166,6249,1486710,4.2,84984,950,11.18,200861,1229,6.12,858311,3404,3.97,342554,666,1.94,518,54,5,42,7,21,NA
"2019-2020","2019-52",1149,5760,1469174,3.92,80743,817,10.12,192531,940,4.88,854993,3289,3.85,340907,714,2.09,385,46,4,31,11,22,NA
"2019-2020","2020-01",1154,7273,1474136,4.93,81790,867,10.6,196230,1031,5.25,854972,4429,5.18,341144,946,2.77,538,60,5,30,25,25,NA
"2019-2020","2020-02",1156,9723,1475168,6.59,84380,1003,11.89,199181,1497,7.52,851339,6024,7.08,340268,1199,3.52,872,128,3,70,55,50,NA
"2019-2020","2020-03",1154,12480,1474410,8.46,83873,1827,21.78,197914,2521,12.74,851494,6889,8.09,341129,1243,3.64,953,213,10,99,104,90,NA
"2019-2020","2020-04",1146,15626,1465621,10.66,82385,2541,30.84,194751,4109,21.1,848165,7752,9.14,340320,1224,3.6,1140,310,12,167,131,145,NA
"2019-2020","2020-05",1134,18320,1452048,12.62,81938,3141,38.33,193647,5372,27.74,839320,8418,10.03,337143,1389,4.12,1257,364,20,195,149,185,NA
"2019-2020","2020-06",1121,17374,1435252,12.11,81014,2969,36.65,192303,5289,27.5,829621,7806,9.41,332314,1310,3.94,1264,330,25,180,125,186,NA
"2019-2020","2020-07",1108,15241,1421338,10.72,80352,2749,34.21,191894,4345,22.64,820159,7037,8.58,328933,1110,3.37,1191,343,32,193,118,205,NA
"2019-2020","2020-08",1053,12365,1351753,9.15,77349,2218,28.68,183891,3512,19.1,778436,5661,7.27,312077,974,3.12,1072,290,58,144,88,155,NA
"2019-2020","2020-09",1000,9213,1280869,7.19,73312,1417,19.33,173829,2296,13.21,738251,4753,6.44,295477,747,2.53,761,195,12,126,57,97,NA
"2019-2020","2020-10",945,6479,1210061,5.35,68657,783,11.4,163944,1097,6.69,697608,3975,5.7,279852,624,2.23,475,80,9,47,24,39,NA
"2019-2020","2020-11",888,4615,1138181,4.05,64929,353,5.44,154938,460,2.97,655709,3243,4.95,262605,559,2.13,239,14,2,5,7,13,NA
"2019-2020","2020-12",839,3013,1080360,2.79,60867,173,2.84,146732,209,1.42,623072,2202,3.53,249689,429,1.72,97,2,NA,2,NA,NA,NA
"2019-2020","2020-13",780,1715,1003446,1.71,54360,85,1.56,131438,106,0.81,584142,1266,2.17,233506,258,1.1,77,NA,NA,NA,NA,NA,NA
"2019-2020","2020-14",752,1079,967360,1.12,52680,43,0.82,127046,72,0.57,562417,792,1.41,225217,172,0.76,68,1,NA,NA,1,NA,NA
"2019-2020","2020-15",707,665,906719,0.73,50709,35,0.69,121519,40,0.33,525114,476,0.91,209377,114,0.54,82,NA,NA,NA,NA,NA,NA
"2019-2020","2020-16",664,482,856867,0.56,46003,20,0.43,109232,20,0.18,501763,361,0.72,199869,81,0.41,62,NA,NA,NA,NA,NA,NA
"2019-2020","2020-17",588,314,754442,0.42,40928,26,0.64,95761,22,0.23,442331,200,0.45,175422,66,0.38,NA,NA,NA,NA,NA,NA,NA
"2020-2021","2020-42",1128,1941,1455285,1.33,79559,140,1.76,189064,242,1.28,850935,1211,1.42,335727,348,1.04,NA,NA,NA,NA,NA,NA,NA
"2020-2021","2020-43",1135,2525,1462944,1.73,80109,137,1.71,190737,236,1.24,854856,1756,2.05,337242,396,1.17,NA,NA,NA,NA,NA,NA,NA
"2020-2021","2020-44",1165,2898,1498892,1.93,82147,158,1.92,196023,289,1.47,875363,2001,2.29,345359,450,1.3,NA,NA,NA,NA,NA,NA,NA
"2020-2021","2020-45",1207,3167,1554797,2.04,84951,191,2.25,201530,255,1.27,909994,2177,2.39,358322,544,1.52,NA,NA,NA,NA,NA,NA,NA
"2020-2021","2020-46",1229,3041,1576062,1.93,84353,191,2.26,202292,239,1.18,924681,2008,2.17,364736,603,1.65,49,NA,NA,NA,NA,NA,18
"2020-2021","2020-47",1235,2916,1583049,1.84,84618,194,2.29,203025,252,1.24,928896,1921,2.07,366510,549,1.5,174,NA,NA,NA,NA,NA,12
"2020-2021","2020-48",1247,2683,1598046,1.68,85747,232,2.71,205540,215,1.05,936763,1723,1.84,369996,513,1.39,156,NA,NA,NA,NA,NA,29
"2020-2021","2020-49",1255,2470,1607691,1.54,85811,214,2.49,206105,246,1.19,943060,1578,1.67,372715,432,1.16,148,NA,NA,NA,NA,NA,17
"2020-2021","2020-50",1259,2248,1615535,1.39,85511,229,2.68,205765,231,1.12,949893,1381,1.45,374366,407,1.09,152,NA,NA,NA,NA,NA,26
"2020-2021","2020-51",1257,2289,1612212,1.42,85309,236,2.77,205001,252,1.23,948258,1431,1.51,373644,370,0.99,128,NA,NA,NA,NA,NA,12
"2020-2021","2020-52",1259,2015,1613750,1.25,85619,193,2.25,205810,204,0.99,948469,1246,1.31,373852,372,1,90,NA,NA,NA,NA,NA,11
"2020-2021","2020-53",1256,2046,1610204,1.27,85860,213,2.48,206713,199,0.96,944968,1281,1.36,372663,353,0.95,100,NA,NA,NA,NA,NA,9
"2020-2021","2021-01",1265,2112,1621757,1.3,86585,199,2.3,208173,219,1.05,951562,1245,1.31,375437,449,1.2,121,NA,NA,NA,NA,NA,16
"2020-2021","2021-02",1261,2182,1619376,1.35,85886,242,2.82,207370,247,1.19,950884,1237,1.3,375236,456,1.22,154,NA,NA,NA,NA,NA,10
"2020-2021","2021-03",1251,2263,1604170,1.41,85349,301,3.53,205926,299,1.45,941382,1243,1.32,371513,420,1.13,223,NA,NA,NA,NA,NA,23
"2020-2021","2021-04",1238,2234,1584547,1.41,84830,287,3.38,205034,323,1.58,927958,1198,1.29,366725,426,1.16,103,NA,NA,NA,NA,NA,14
"2020-2021","2021-05",1217,2377,1557370,1.53,83636,339,4.05,201863,405,2.01,911660,1350,1.48,360211,283,0.79,240,NA,NA,NA,NA,NA,27
"2020-2021","2021-06",1200,2281,1534611,1.49,81992,338,4.12,197699,362,1.83,899690,1319,1.47,355230,262,0.74,158,NA,NA,NA,NA,NA,5
"2020-2021","2021-07",1176,2379,1502515,1.58,80675,335,4.15,194484,381,1.96,879222,1399,1.59,348134,264,0.76,195,NA,NA,NA,NA,NA,24
"2020-2021","2021-08",1160,2433,1479673,1.64,80199,346,4.31,193303,357,1.85,864169,1439,1.67,342002,291,0.85,282,NA,NA,NA,NA,NA,48
"2020-2021","2021-09",1142,2349,1453493,1.62,79657,314,3.94,191563,349,1.82,846738,1400,1.65,335535,286,0.85,247,NA,NA,NA,NA,NA,46
"2020-2021","2021-10",1117,2210,1420294,1.56,78433,225,2.87,188607,266,1.41,825282,1425,1.73,327972,294,0.9,314,NA,NA,NA,NA,NA,109
"2020-2021","2021-11",1083,1919,1375727,1.39,75683,199,2.63,183029,220,1.2,800287,1216,1.52,316728,284,0.9,306,NA,NA,NA,NA,NA,104
"2020-2021","2021-12",1056,1550,1339744,1.16,73898,149,2.02,179066,149,0.83,778544,1009,1.3,308236,243,0.79,396,NA,NA,NA,NA,NA,115
"2020-2021","2021-13",1021,1280,1295499,0.99,71418,111,1.55,172931,121,0.7,753419,854,1.13,297731,194,0.65,310,NA,NA,NA,NA,NA,87
"2020-2021","2021-14",978,1109,1231677,0.9,68554,108,1.58,160379,109,0.68,718834,730,1.02,283910,162,0.57,255,NA,NA,NA,NA,NA,63
"2020-2021","2021-15",905,981,1143531,0.86,61963,109,1.76,145753,106,0.73,671298,615,0.92,264517,151,0.57,236,NA,NA,NA,NA,NA,36
"2020-2021","2021-16",762,811,953157,0.85,54484,113,2.07,126409,91,0.72,552677,490,0.89,219587,117,0.53,252,NA,NA,NA,NA,NA,50
"2021-2022","2021-42",1308,4272,1713241,2.49,97331,866,8.9,228025,612,2.68,988110,2303,2.33,399775,491,1.23,NA,NA,NA,NA,NA,NA,NA
"2021-2022","2021-43",1313,4966,1720624,2.89,97292,1168,12.01,228185,697,3.05,993696,2576,2.59,401451,525,1.31,NA,NA,NA,NA,NA,NA,NA
"2021-2022","2021-44",1317,5590,1725143,3.24,97099,1285,13.23,228271,829,3.63,997531,2844,2.85,402242,632,1.57,NA,NA,NA,NA,NA,NA,NA
"2021-2022","2021-45",1332,6673,1747584,3.82,96862,1605,16.57,227900,1053,4.62,1013525,3243,3.2,409297,772,1.89,NA,NA,NA,NA,NA,NA,NA
"2021-2022","2021-46",1324,7301,1741924,4.19,96706,1760,18.2,227388,1157,5.09,1011179,3563,3.52,406651,821,2.02,280,2,NA,2,NA,1,10
"2021-2022","2021-47",1335,7820,1755204,4.46,97382,1697,17.43,229234,1252,5.46,1018487,3907,3.84,410101,964,2.35,631,3,NA,3,NA,NA,155
"2021-2022","2021-48",1314,7589,1729390,4.39,95581,1476,15.44,224781,1192,5.3,1005047,3969,3.95,403981,952,2.36,513,1,1,NA,NA,NA,106
"2021-2022","2021-49",1313,7120,1728741,4.12,94239,1266,13.43,222056,1065,4.8,1006490,3852,3.83,405956,937,2.31,409,3,NA,3,NA,2,72
"2021-2022","2021-50",1304,7589,1713465,4.43,94982,1220,12.84,223595,1115,4.99,993493,4248,4.28,401395,1006,2.51,396,3,NA,3,NA,1,80
"2021-2022","2021-51",1286,7972,1688611,4.72,94416,1031,10.92,221978,1077,4.85,977407,4822,4.93,394810,1042,2.64,318,11,1,9,1,1,60
"2021-2022","2021-52",1267,8581,1663701,5.16,93134,817,8.77,219511,1038,4.73,963737,5580,5.79,387319,1146,2.96,399,4,NA,3,1,NA,164
"2021-2022","2022-01",1262,8138,1658111,4.91,92480,704,7.61,217416,992,4.56,961187,5344,5.56,387028,1098,2.84,496,10,1,9,NA,NA,232
"2021-2022","2022-02",1251,7999,1641110,4.87,92288,701,7.6,216931,998,4.6,949140,5262,5.54,382751,1038,2.71,303,5,NA,4,1,NA,110
"2021-2022","2022-03",1246,7447,1635710,4.55,92297,751,8.14,216688,1024,4.73,945885,4758,5.03,380840,914,2.4,542,8,1,6,1,NA,266
"2021-2022","2022-04",1234,6122,1616160,3.79,91701,732,7.98,215193,926,4.3,932231,3735,4.01,377035,729,1.93,344,14,2,10,2,NA,126
"2021-2022","2022-05",1215,5123,1592841,3.22,89188,652,7.31,210099,802,3.82,921739,3098,3.36,371815,571,1.54,265,10,2,8,NA,NA,72
"2021-2022","2022-06",1209,4422,1584651,2.79,88831,657,7.4,209442,687,3.28,916907,2533,2.76,369471,545,1.48,537,12,NA,12,NA,NA,230
"2021-2022","2022-07",1197,4171,1569139,2.66,87171,738,8.47,205560,669,3.25,909728,2267,2.49,366680,497,1.36,394,17,NA,17,NA,NA,151
"2021-2022","2022-08",1189,4322,1555690,2.78,87149,775,8.89,206049,751,3.64,899514,2271,2.52,362978,525,1.45,388,40,NA,39,1,NA,94
"2021-2022","2022-09",1178,4667,1542173,3.03,86405,819,9.48,203828,829,4.07,891614,2518,2.82,360326,501,1.39,487,75,6,69,NA,NA,178
"2021-2022","2022-10",1170,5903,1528044,3.86,86219,960,11.13,203563,1088,5.34,882565,3246,3.68,355697,609,1.71,629,180,48,132,NA,NA,154
"2021-2022","2022-11",1148,6992,1498974,4.66,84638,1145,13.53,200263,1313,6.56,865407,3849,4.45,348666,685,1.96,758,303,83,219,1,NA,185
"2021-2022","2022-12",1129,7530,1474488,5.11,83878,1311,15.63,198488,1540,7.76,849497,3916,4.61,342625,763,2.23,780,338,120,217,1,NA,211
"2021-2022","2022-13",1095,7552,1427856,5.29,81342,1330,16.35,193103,1548,8.02,822006,3904,4.75,331405,770,2.32,705,301,93,207,1,NA,177
"2021-2022","2022-14",1053,6264,1375230,4.55,75810,1066,14.06,180586,1290,7.14,796893,3241,4.07,321941,667,2.07,696,248,102,145,1,NA,233
"2021-2022","2022-15",1002,5140,1306933,3.93,72974,961,13.17,173201,996,5.75,755278,2603,3.45,305480,580,1.9,491,142,29,112,1,1,195
"2021-2022","2022-16",932,4396,1208573,3.64,69615,745,10.7,164636,774,4.7,693638,2387,3.44,280684,490,1.75,384,99,14,84,1,NA,136
"2021-2022","2022-17",769,2831,1001593,2.83,58571,529,9.03,138524,544,3.93,574073,1451,2.53,230425,307,1.33,437,64,41,23,NA,NA,146
