Regione;Settimana;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;43;44;45;46;47;48;49;50;51;52;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Piemonte;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <14,37;Inc <9,37;Inc <14,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
Valle d'Aosta;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lombardia;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
P.A. Bolzano;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <3,16 ;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;;;
P.A. Trento;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;;;
Veneto;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;;;
Friuli V. G.;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16 ;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37 ;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
Liguria;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37 ;Inc <9,37;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
Emilia R.;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
Toscana;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <3,16;Inc <9,37;Inc <9,37;Inc <9,37;Inc <9,37;;;
