Data;>=80 anni;>=80 anni_non_consolidati;Altri;Altri_non_consolidati
09/11/20;90;;288;
10/11/20;79;;321;
11/11/20;84;;292;
12/11/20;81;;299;
13/11/20;77;;305;
14/11/20;74;;263;
15/11/20;71;;254;
16/11/20;91;;309;
17/11/20;79;;313;
18/11/20;113;;315;
19/11/20;93;;286;
20/11/20;97;;254;
21/11/20;63;;217;
22/11/20;74;;218;
23/11/20;64;;267;
24/11/20;74;;273;
25/11/20;80;;216;
26/11/20;77;;225;
27/11/20;70;;217;
28/11/20;57;;172;
29/11/20;65;;181;
30/11/20;69;;161;
01/12/20;73;;176;
02/12/20;58;;192;
03/12/20;67;;193;
04/12/20;58;;173;
05/12/20;56;;159;
06/12/20;51;;137;
07/12/20;65;;151;
08/12/20;54;;158;
09/12/20;59;;166;
10/12/20;57;;179;
11/12/20;46;;143;
12/12/20;51;;130;
13/12/20;57;;116;
14/12/20;55;;146;
15/12/20;52;;146;
16/12/20;30;;129;
17/12/20;52;;142;
18/12/20;39;;125;
19/12/20;35;;123;
20/12/20;42;;117;
21/12/20;55;;138;
22/12/20;52;;125;
23/12/20;48;;122;
24/12/20;43;;131;
25/12/20;37;;110;
26/12/20;35;;118;
27/12/20;43;;122;
28/12/20;28;;138;
29/12/20;39;;153;
30/12/20;38;;146;
31/12/20;35;;148;
01/01/21;28;;124;
02/01/21;47;;139;
03/01/21;32;;101;
04/01/21;44;;154;
05/01/21;46;;134;
06/01/21;39;;137;
07/01/21;56;;137;
08/01/21;41;;152;
09/01/21;40;;129;
10/01/21;48;;129;
11/01/21;40;;150;
12/01/21;43;;141;
13/01/21;40;;125;
14/01/21;54;;124;
15/01/21;32;;129;
16/01/21;39;;119;
17/01/21;42;;121;
18/01/21;51;;134;
19/01/21;26;;130;
20/01/21;31;;131;
21/01/21;52;;123;
22/01/21;36;;112;
23/01/21;30;;125;
24/01/21;35;;91;
25/01/21;45;;131;
26/01/21;28;;111;
27/01/21;25;;89;
28/01/21;40;;112;
29/01/21;38;;92;
30/01/21;31;;104;
31/01/21;27;;97;
01/02/21;34;;129;
02/02/21;38;;109;
03/02/21;38;;98;
04/02/21;29;;110;
05/02/21;32;;135;
06/02/21;34;;109;
07/02/21;25;;106;
08/02/21;28;;117;
09/02/21;29;;125;
10/02/21;38;;115;
11/02/21;34;;104;
12/02/21;25;;100;
13/02/21;27;;94;
14/02/21;21;;98;
15/02/21;27;;129;
16/02/21;34;;121;
17/02/21;28;;115;
18/02/21;31;;144;
19/02/21;26;;110;
20/02/21;35;;130;
21/02/21;27;;133;
22/02/21;36;;168;
23/02/21;39;;154;
24/02/21;30;;144;
25/02/21;26;;195;
26/02/21;32;;162;
27/02/21;22;;165;
28/02/21;23;;152;
01/03/21;42;;196;
02/03/21;50;;225;
03/03/21;42;;209;
04/03/21;21;;213;
05/03/21;53;;247;
06/03/21;37;;232;
07/03/21;40;;184;
08/03/21;38;;236;
09/03/21;35;;267;
10/03/21;47;;266;
11/03/21;28;;228;
12/03/21;56;;278;
13/03/21;39;;233;
14/03/21;56;;215;
15/03/21;51;;288;
16/03/21;59;;291;
17/03/21;43;;251;
18/03/21;47;;258;
19/03/21;47;;286;
20/03/21;38;;245;
21/03/21;33;;228;
22/03/21;53;;252;
23/03/21;52;;244;
24/03/21;35;;227;
25/03/21;57;;284;
26/03/21;41;;291;
27/03/21;54;;231;
28/03/21;30;;230;
29/03/21;48;;280;
30/03/21;36;;272;
31/03/21;37;;225;
01/04/21;36;;201;
02/04/21;31;;237;
03/04/21;27;;177;
04/04/21;11;;180;
05/04/21;14;;164;
06/04/21;32;;194;
07/04/21;13;;190;
08/04/21;18;;176;
09/04/21;16;;159;
10/04/21;5;;169;
11/04/21;13;;117;
12/04/21;12;;153;
13/04/21;17;;160;
14/04/21;17;;135;
15/04/21;10;;123;
16/04/21;16;;130;
17/04/21;7;;103;
18/04/21;5;;96;
19/04/21;13;;118;
20/04/21;11;;144;
21/04/21;6;;120;
22/04/21;9;;110;
23/04/21;8;;104;
24/04/21;9;;103;
25/04/21;6;;94;
26/04/21;9;;126;
27/04/21;9;;112;
28/04/21;9;;102;
29/04/21;13;;103;
30/04/21;5;;105;
01/05/21;7;;86;
02/05/21;7;;81;
03/05/21;8;;108;
04/05/21;9;;119;
05/05/21;5;;89;
06/05/21;5;;79;
07/05/21;5;;85;
08/05/21;8;;60;
09/05/21;5;;61;
10/05/21;6;;72;
11/05/21;4;;58;
12/05/21;4;;55;
13/05/21;3;;60;
14/05/21;4;;58;
15/05/21;6;;54;
16/05/21;3;;32;
17/05/21;3;;49;
18/05/21;3;;48;
19/05/21;2;;49;
20/05/21;5;;33;
21/05/21;3;;52;
22/05/21;2;;40;
23/05/21;2;;25;
24/05/21;3;;30;
25/05/21;2;;31;
26/05/21;1;;39;
27/05/21;1;;21;
28/05/21;5;;20;
29/05/21;0;;20;
30/05/21;1;;26;
31/05/21;3;;28;
01/06/21;6;;20;
02/06/21;2;;19;
03/06/21;2;;14;
04/06/21;4;;20;
05/06/21;2;;19;
06/06/21;3;;9;
07/06/21;3;;14;
08/06/21;0;;17;
09/06/21;2;;17;
10/06/21;2;;9;
11/06/21;2;;12;
12/06/21;3;;10;
13/06/21;0;;10;
14/06/21;1;;8;
15/06/21;6;;18;
16/06/21;3;;11;
17/06/21;2;;5;
18/06/21;1;;5;
19/06/21;0;;3;
20/06/21;0;;5;
21/06/21;0;;8;
22/06/21;1;;7;
23/06/21;1;;6;
24/06/21;1;;10;
25/06/21;1;;11;
26/06/21;3;;5;
27/06/21;3;;7;
28/06/21;0;;8;
29/06/21;0;;3;
30/06/21;0;;3;
01/07/21;0;;4;
02/07/21;1;;3;
03/07/21;1;;3;
04/07/21;0;;1;
05/07/21;1;;9;
06/07/21;1;;6;
07/07/21;0;;7;
08/07/21;2;;6;
09/07/21;0;;6;
10/07/21;0;;2;
11/07/21;2;;5;
12/07/21;0;;8;
13/07/21;0;;7;
14/07/21;1;;4;
15/07/21;1;;6;
16/07/21;1;;9;
17/07/21;2;;7;
18/07/21;1;;10;
19/07/21;1;;6;
20/07/21;0;;8;
21/07/21;0;;11;
22/07/21;1;;11;
23/07/21;1;;15;
24/07/21;3;;9;
25/07/21;2;;4;
26/07/21;1;;12;
27/07/21;1;;5;
28/07/21;2;;18;
29/07/21;0;;16;
30/07/21;1;;22;
31/07/21;0;;13;
01/08/21;2;;18;
02/08/21;4;;15;
03/08/21;1;;11;
04/08/21;4;;17;
05/08/21;0;;22;
06/08/21;3;;14;
07/08/21;5;;12;
08/08/21;;1;;12
09/08/21;;3;;20
10/08/21;;4;;19
11/08/21;;1;;32
12/08/21;;3;;24
13/08/21;;4;;25
14/08/21;;3;;17
15/08/21;;1;;25
16/08/21;;5;;29
17/08/21;;4;;23
18/08/21;;1;;33
19/08/21;;1;;20
20/08/21;;1;;18
21/08/21;;3;;16
22/08/21;;;;1
