Data;>=80 anni;>=80 anni_non_consolidati;Altri;Altri_non_consolidati
09/11/20;390;;217;
10/11/20;411;;255;
11/11/20;415;;263;
12/11/20;470;;259;
13/11/20;413;;259;
14/11/20;452;;246;
15/11/20;461;;265;
16/11/20;488;;280;
17/11/20;481;;313;
18/11/20;484;;318;
19/11/20;483;;327;
20/11/20;506;;281;
21/11/20;428;;252;
22/11/20;478;;248;
23/11/20;466;;302;
24/11/20;479;;295;
25/11/20;520;;308;
26/11/20;471;;268;
27/11/20;486;;288;
28/11/20;458;;273;
29/11/20;414;;259;
30/11/20;429;;261;
01/12/20;419;;237;
02/12/20;442;;282;
03/12/20;421;;241;
04/12/20;427;;266;
05/12/20;422;;209;
06/12/20;426;;226;
07/12/20;405;;237;
08/12/20;404;;201;
09/12/20;425;;265;
10/12/20;403;;221;
11/12/20;389;;228;
12/12/20;403;;188;
13/12/20;388;;188;
14/12/20;365;;211;
15/12/20;365;;220;
16/12/20;418;;226;
17/12/20;389;;201;
18/12/20;372;;187;
19/12/20;332;;178;
20/12/20;322;;175;
21/12/20;358;;152;
22/12/20;320;;180;
23/12/20;306;;197;
24/12/20;317;;177;
25/12/20;284;;141;
26/12/20;297;;138;
27/12/20;267;;154;
28/12/20;334;;169;
29/12/20;294;;155;
30/12/20;331;;148;
31/12/20;286;;148;
01/01/21;311;;144;
02/01/21;276;;154;
03/01/21;284;;140;
04/01/21;332;;176;
05/01/21;332;;168;
06/01/21;312;;157;
07/01/21;309;;160;
08/01/21;284;;163;
09/01/21;282;;158;
10/01/21;276;;168;
11/01/21;311;;165;
12/01/21;297;;170;
13/01/21;309;;146;
14/01/21;274;;155;
15/01/21;340;;166;
16/01/21;291;;155;
17/01/21;290;;157;
18/01/21;306;;173;
19/01/21;299;;168;
20/01/21;283;;155;
21/01/21;285;;137;
22/01/21;274;;152;
23/01/21;253;;152;
24/01/21;265;;151;
25/01/21;260;;137;
26/01/21;300;;141;
27/01/21;287;;148;
28/01/21;252;;142;
29/01/21;223;;136;
30/01/21;258;;120;
31/01/21;222;;143;
01/02/21;220;;132;
02/02/21;261;;139;
03/02/21;237;;128;
04/02/21;226;;109;
05/02/21;274;;136;
06/02/21;217;;127;
07/02/21;197;;105;
08/02/21;213;;118;
09/02/21;203;;145;
10/02/21;171;;119;
11/02/21;182;;117;
12/02/21;173;;112;
13/02/21;158;;95;
14/02/21;163;;102;
15/02/21;181;;102;
16/02/21;174;;114;
17/02/21;207;;127;
18/02/21;185;;125;
19/02/21;170;;120;
20/02/21;137;;116;
21/02/21;157;;108;
22/02/21;206;;151;
23/02/21;171;;133;
24/02/21;145;;99;
25/02/21;143;;122;
26/02/21;169;;116;
27/02/21;153;;127;
28/02/21;138;;103;
01/03/21;180;;141;
02/03/21;174;;136;
03/03/21;200;;125;
04/03/21;200;;115;
05/03/21;181;;139;
06/03/21;151;;137;
07/03/21;174;;130;
08/03/21;191;;117;
09/03/21;180;;136;
10/03/21;184;;173;
11/03/21;211;;166;
12/03/21;213;;181;
13/03/21;199;;158;
14/03/21;168;;138;
15/03/21;204;;163;
16/03/21;248;;179;
17/03/21;207;;185;
18/03/21;215;;198;
19/03/21;212;;180;
20/03/21;215;;161;
21/03/21;232;;168;
22/03/21;224;;162;
23/03/21;269;;187;
24/03/21;256;;189;
25/03/21;231;;195;
26/03/21;236;;200;
27/03/21;193;;178;
28/03/21;196;;181;
29/03/21;247;;204;
30/03/21;223;;188;
31/03/21;240;;204;
01/04/21;227;;219;
02/04/21;249;;194;
03/04/21;231;;213;
04/04/21;184;;195;
05/04/21;212;;188;
06/04/21;254;;220;
07/04/21;221;;175;
08/04/21;233;;191;
09/04/21;208;;207;
10/04/21;202;;180;
11/04/21;199;;180;
12/04/21;197;;204;
13/04/21;177;;198;
14/04/21;162;;174;
15/04/21;170;;148;
16/04/21;150;;167;
17/04/21;144;;186;
18/04/21;151;;148;
19/04/21;130;;175;
20/04/21;155;;162;
21/04/21;156;;178;
22/04/21;136;;138;
23/04/21;143;;179;
24/04/21;158;;146;
25/04/21;135;;139;
26/04/21;127;;173;
27/04/21;98;;133;
28/04/21;121;;154;
29/04/21;90;;145;
30/04/21;110;;129;
01/05/21;87;;116;
02/05/21;101;;117;
03/05/21;100;;113;
04/05/21;117;;138;
05/05/21;102;;110;
