Macroarea;Casi notificati al 15/07/2021;Ampiezza campionaria (p=5, epsilon=2%)
Nord-Est;551;252
Nord-Ovest;480;237
Centro;586;258
Sud e Isole;838;299
TOTALE;2.455;1.046
