Data;Etˆ;Incidenza
22/02/21;70-79;152
22/02/21;80-89;148
22/02/21;90+;155
01/03/21;0-9;215
01/03/21;10_19;286
01/03/21;20-29;281
01/03/21;30-39;267
01/03/21;40-49;270
01/03/21;50-59;254
01/03/21;60-69;204
01/03/21;70-79;176
01/03/21;80-89;172
01/03/21;90+;175
08/03/21;0-9;217
08/03/21;10_19;298
08/03/21;20-29;304
08/03/21;30-39;291
08/03/21;40-49;297
08/03/21;50-59;284
08/03/21;60-69;228
08/03/21;70-79;204
08/03/21;80-89;195
08/03/21;90+;197
15/03/21;0-9;198
15/03/21;10_19;272
15/03/21;20-29;285
15/03/21;30-39;278
15/03/21;40-49;280
15/03/21;50-59;278
15/03/21;60-69;225
15/03/21;70-79;201
15/03/21;80-89;192
15/03/21;90+;213
22/03/21;0-9;183
22/03/21;10_19;265
22/03/21;20-29;283
22/03/21;30-39;264
22/03/21;40-49;272
22/03/21;50-59;267
22/03/21;60-69;221
22/03/21;70-79;194
22/03/21;80-89;187
22/03/21;90+;215
29/03/21;0-9;171
29/03/21;10_19;239
29/03/21;20-29;256
29/03/21;30-39;239
29/03/21;40-49;245
29/03/21;50-59;243
29/03/21;60-69;203
29/03/21;70-79;183
29/03/21;80-89;167
29/03/21;90+;199
05/04/21;0-9;150
05/04/21;10_19;189
05/04/21;20-29;196
05/04/21;30-39;186
05/04/21;40-49;183
05/04/21;50-59;184
05/04/21;60-69;154
05/04/21;70-79;138
05/04/21;80-89;116
05/04/21;90+;137
12/04/21;0-9;165
12/04/21;10_19;201
12/04/21;20-29;195
12/04/21;30-39;184
12/04/21;40-49;174
12/04/21;50-59;168
12/04/21;60-69;146
12/04/21;70-79;130
12/04/21;80-89;103
12/04/21;90+;118
19/04/21;0-9;196
19/04/21;10_19;194
19/04/21;20-29;171
19/04/21;30-39;177
19/04/21;40-49;168
19/04/21;50-59;152
19/04/21;60-69;129
19/04/21;70-79;106
19/04/21;80-89;80
19/04/21;90+;101
26/04/21;0-9;175
26/04/21;10_19;177
26/04/21;20-29;142
26/04/21;30-39;156
26/04/21;40-49;147
26/04/21;50-59;125
26/04/21;60-69;107
26/04/21;70-79;86
26/04/21;80-89;60
26/04/21;90+;74
03/05/21;0-9;146
03/05/21;10_19;150
03/05/21;20-29;121
03/05/21;30-39;129
03/05/21;40-49;120
03/05/21;50-59;101
03/05/21;60-69;85
03/05/21;70-79;65
03/05/21;80-89;43
03/05/21;90+;59
