Regione;Settimana;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;43;44;45;46;47;48;49;50;51;52;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
Piemonte;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<14,37;<9,37;<14,37;<9,37;<9,37;<9,37;<9,37;;;;;;;;;;;
Valle d'Aosta;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Lombardia;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;;;;;;;;;;;;
P.A. Bolzano;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<3,16;<3,16;<3,16;<3,16;;;;;;;;;;;
P.A. Trento;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;;;;;;;;;;;
Veneto;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;;;;;;;;;;;
Friuli V. Giulia;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<3,16;<3,16;;;;;;;;;;;
Liguria;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<9,37;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;;;;;;;;;;;
Emilia R.;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;;;;;;;;;;;
Toscana;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;<3,16;<3,16;;;;;;;;;;;
Umbria;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;;;;;;;;;;;
Marche;<3,16;<3,16;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<9,37;<3,16;<3,16;<3,16;;;;;;;;;;;
Lazio;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<9,37;<3,16;<3,16;<3,16;;;;;;;;;;;
Abruzzo;<3,16;<9,37;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;;;;;;;;;;;
Molise;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;;;;;;;;;;;
Campania;<3,16;<3,16;<3,16;<9,37;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;;;;;;;;;;;
Puglia;<3,16;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;;;;;;;;;;;
Basilicata;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;;;;;;;;;;;
Calabria;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sicilia;<3,16;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;<9,37;;;;;;;;;;;
Sardegna;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;<3,16;;;;;;;;;;;
ITALIA;<3,16;<3,16;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<9,37;<3,16;<3,16;;;;;;;;;;;
