variant;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
BA.1;111;1,8
BA.1.1;577;9,5
BA.1.1.1;84;1,4
BA.1.1.11;9;0,1
BA.1.1.14;28;0,5
BA.1.15;13;0,2
BA.1.17;20;0,3
BA.1.17.2;83;1,4
BA.1.18;16;0,3
BA.1.20;7;0,1
BA.1.21;23;0,4
BA.1.21.1;14;0,2
BA.2;3823;62,8
BA.2.1;6;0,1
BA.2.10;57;0,9
BA.2.10.1;13;0,2
BA.2.12;11;0,2
BA.2.14;5;0,1
BA.2.3;311;5,1
BA.2.5;11;0,2
BA.2.9;788;12,9
BA.3;13;0,2
XE-like;5;0,1
Other;62;1
