variant;number_sequenced;percent_cases_sequenced
B.1.1.7;25.003;59,26
B.1.1.7 + E484K;28;0,07
B.1.351;66;0,16
B.1.351.2;19;0,05
B.1.351.3;38;0,09
P.1;409;0,97
P.1.1;1.717;4,07
P.1.2;0;0
B.1.617.2;4.512;10,69
AY.1;1;0
AY.2;0;0
AY.3;604;1,43
B.1.525;401;0,95
B.1.617.1;10;0,02
B.1.617.3;0;0
Altro lignaggio;9.382;22,24
;;
