Data;Infanzia;Elementari;Medie;Superiori
2021-09-18;0;0;0;0
2021-09-21;0;0;0;0
2021-09-24;0;0;0;0
2021-09-28;0;1;0;1
2021-10-01;0;1;0;1
2021-10-05;1;4;0;0
2021-10-08;0;1;0;0
2021-10-12;1;0;0;1
2021-10-15;0;0;0;1
2021-10-19;6;0;5;0
2021-10-22;8;0;0;0
2021-10-26;1;4;1;2
2021-10-29;2;3;1;2
2021-11-02;1;1;0;0
2021-11-05;1;3;1;0
2021-11-09;3;4;0;0
2021-11-12;7;5;1;0
2021-11-16;10;2;1;0
2021-11-19;11;3;1;0
2021-11-23;7;5;0;0
2021-11-26;7;5;0;1
2021-11-30;7;0;0;1
2021-12-03;6;1;1;1
2021-12-07;3;3;1;0
2021-12-10;5;4;1;0
2021-12-14;4;5;2;0
2021-12-17;9;2;1;3
2021-12-21;10;2;5;3
