"data","macroarea","casi_notificati","ampiezza_campionaria"
"16/02/21","Nord-Est",2625,265
"16/02/21","Nord-Ovest",2692,266
"16/02/21","Centro",1848,254
"16/02/21","Sud e Isole",3221,273
"16/02/21","TOTALE",10386,1058
"16/03/21","Nord-Est",5122,421
"16/03/21","Nord-Ovest",6676,429
"16/03/21","Centro",3432,405
"16/03/21","Sud e Isole",5166,424
"16/03/21","TOTALE",20396,1679
"15/04/21","Nord-Est",2658,390
"15/04/21","Nord-Ovest",4467,415
"15/04/21","Centro",2978,396
"15/04/21","Sud e Isole",6871,428
"15/04/21","TOTALE",16974,1629
"13/05/21","Nord-Est",1304,340
"13/05/21","Nord-Ovest",2246,382
"13/05/21","Centro",1677,361
"13/05/21","Sud e Isole",2858,399
"13/05/21","TOTALE",8085,1482
"16/06/21","Nord-Est",192,138
"16/06/21","Nord-Ovest",337,198
"16/06/21","Centro",290,180
"16/06/21","Sud e Isole",581,261
"16/06/21","TOTALE",1400,777
"15/07/21","Nord-Est",551,252
"15/07/21","Nord-Ovest",480,237
"15/07/21","Centro",586,258
"15/07/21","Sud e Isole",838,299
"15/07/21","TOTALE",2455,1046
"19/08/21","Nord-Est",1295,340
"19/08/21","Nord-Ovest",1104,327
"19/08/21","Centro",1704,364
"19/08/21","Sud e Isole",3157,404
"19/08/21","TOTALE",7260,1435
"23/09/21","Nord-Est",918,307
"23/09/21","Nord-Ovest",778,290
"23/09/21","Centro",849,300
"23/09/21","Sud e Isole",1515,355
"23/09/21","TOTALE",4061,1252
"01/12/21","Nord-Est",5384,423
"01/12/21","Nord-Ovest",3983,411
"01/12/21","Centro",2788,394
"01/12/21","Sud e Isole",2930,399
"01/12/21","TOTALE",15085,1627
"16/12/21","Nord-Est",7082,431
"16/12/21","Nord-Ovest",8564,436
"16/12/21","Centro",4887,420
"16/12/21","Sud e Isole",5576,426
"16/12/21","TOTALE",26109,1713
"29/12/21","Nord-Est",16049,446
"29/12/21","Nord-Ovest",44230,454
"29/12/21","Centro",17420,447
"29/12/21","Sud e Isole",20321,451
"29/12/21","TOTALE",98020,1798
"13/01/22","Nord-Est",47651,455
"13/01/22","Nord-Ovest",60690,456
"13/01/22","Centro",27446,451
"13/01/22","Sud e Isole",48828,455
"13/01/22","TOTALE",184615,1817
"26/01/22","Nord-Est",47663,454
"26/01/22","Nord-Ovest",48101,454
"26/01/22","Centro",33874,453
"26/01/22","Sud e Isole",37568,456
"26/01/22","TOTALE",167206,1817
"02/03/22","Nord-Est",7061,431
"02/03/22","Nord-Ovest",7699,433
"02/03/22","Centro",6725,430
"02/03/22","Sud e Isole",14944,447
"02/03/22","TOTALE",36429,1741
"31/03/22","Nord-Est",14405,445
"31/03/22","Nord-Ovest",13981,443
"31/03/22","Centro",18427,448
"31/03/22","Sud e Isole",26382,453
"31/03/22","TOTALE",73195,1789
"28/04/22","Nord-Est",15101,446
"28/04/22","Nord-Ovest",13876,444
"28/04/22","Centro",13705,444
"28/04/22","Sud e Isole",26522,453
"28/04/22","TOTALE",69204,1787
"31/05/22","Nord-Est",3542,408
"31/05/22","Nord-Ovest",5227,422
"31/05/22","Centro",5592,423
"31/05/22","Sud e Isole",9924,442
"31/05/22","TOTALE",24267,1695
"30/06/22","Nord-Est",18064,447
"30/06/22","Nord-Ovest",18596,448
"30/06/22","Centro",16561,445
"30/06/22","Sud e Isole",30053,453
"30/06/22","TOTALE",83274,1793
