"data","regione","macroarea","casi_notificati","percentuale_casi_notificati","ampiezza_campionaria"
"19/08/21","P.A. Trento","Nord-Est",33,3,9
"19/08/21","Piemonte","Nord-Ovest",254,23,75
"19/08/21","Puglia","Sud",217,7,28
"19/08/21","Sardegna","Isole",451,14,58
"19/08/21","Sicilia","Isole",1377,44,175
"19/08/21","Toscana","Centro",844,50,179
"19/08/21","Umbria","Centro",104,6,23
"19/08/21","Valle d'Aosta","Nord-Ovest",11,1,4
"19/08/21","Veneto","Nord-Est",588,45,154
"19/08/21","TOTALE",0,7260,0,1435
"23/09/21","Abruzzo","Sud",57,4,14
"23/09/21","Basilicata","Sud",38,3,9
"23/09/21","Calabria","Sud",178,12,42
"23/09/21","Campania","Sud",419,28,98
"23/09/21","Emilia-Romagna","Nord-Est",332,36,111
"23/09/21","Friuli Venezia Giulia","Nord-Est",68,7,23
"23/09/21","Lazio","Centro",372,44,131
"23/09/21","Liguria","Nord-Ovest",87,11,33
"23/09/21","Lombardia","Nord-Ovest",443,57,164
"23/09/21","Marche","Centro",87,10,31
"23/09/21","Molise","Sud",5,0,2
"23/09/21","P.A. Bolzano","Nord-Est",37,4,13
"23/09/21","P.A. Trento","Nord-Est",36,4,12
"23/09/21","Piemonte","Nord-Ovest",242,31,90
"23/09/21","Puglia","Sud",138,9,32
"23/09/21","Sardegna","Isole",34,2,8
"23/09/21","Sicilia","Isole",647,43,150
"23/09/21","Toscana","Centro",304,36,107
"23/09/21","Umbria","Centro",86,10,31
"23/09/21","Valle d'Aosta","Nord-Ovest",6,1,3
"23/09/21","Veneto","Nord-Est",445,48,148
"23/09/21","TOTALE",0,4061,0,1252
"01/12/21","Abruzzo","Sud",243,8.3,33
"01/12/21","Basilicata","Sud",46,1.6,7
"01/12/21","Calabria","Sud",286,9.8,39
"01/12/21","Campania","Sud",1087,37.1,147
"01/12/21","Emilia-Romagna","Nord-Est",1117,20.7,88
"01/12/21","Friuli Venezia Giulia","Nord-Est",746,13.9,59
"01/12/21","Lazio","Centro",1638,58.8,231
"01/12/21","Liguria","Nord-Ovest",549,13.8,57
"01/12/21","Lombardia","Nord-Ovest",2503,62.8,258
"01/12/21","Marche","Centro",475,17,67
"01/12/21","Molise","Sud",27,0.9,4
"01/12/21","P.A. Bolzano","Nord-Est",677,12.6,53
"01/12/21","P.A. Trento","Nord-Est",188,3.5,15
"01/12/21","Piemonte","Nord-Ovest",902,22.6,93
"01/12/21","Puglia","Sud",367,12.5,50
"01/12/21","Sardegna","Isole",145,4.9,20
"01/12/21","Sicilia","Isole",729,24.9,99
"01/12/21","Toscana","Centro",559,20.1,79
