variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;14.033;43,02;552;5,77
B.1.1.7 + E484K;28;0,09;1;0,01
Q.1;46;0,14;1;0,01
Q.2;976;2,99;1;0,01
B.1.351;51;0,16;6;0,06
B.1.351.2;9;0,03;0;0
B.1.351.3;39;0,12;0;0
P.1;385;1,18;52;0,54
P.1.1;1.133;3,47;108;1,13
P.1.2;1;<0,01;0;0
P.1.4;2;0,01;2;0,02
P.1.7;290;0,89;52;0,54
B.1.617.2;6.066;18,6;4648;48,57
AY.1;1;<0,01;1;0,01
AY.3;3;0,01;3;0,03
AY.4;2.028;6,22;1849;19,32
AY.5;44;0,13;40;0,42
AY.6;396;1,21;388;4,05
AY.7;234;0,72;232;2,42
AY.9;146;0,45;139;1,45
AY.10;5;0,02;5;0,05
AY.11;32;0,1;32;0,33
AY.12;1.413;4,33;1154;12,06
B.1.525;361;1,11;4;0,04
B.1.617.1;17;0,05;1;0,01
C.37;12;0,04;2;0,02
C.37.1;4;0,01;4;0,04
P.2;5;0,02;0;0
Other;4.861;14,9;293;3,06
