variant;number_sequenced;percent_cases_sequenced
B.1.1.7;23.528;49,053
B.1.1.7 + E484K;23;0,048
B.1.351;67;0,14
B.1.351.2;21;0,044
B.1.351.3;41;0,085
P.1;428;0,892
P.1.1;1.811;3,776
P.1.2;0;0
P.1.4;2;0,004
P.1.6;0;0
P.1.7;296;0,617
B.1.617.2;4.757;9,918
AY.1;1;0,002
AY.2;0;0
AY.3;10;0,021
AY.3.1;0;0
B.1.525;431;0,899
B.1.526;8;0,017
B.1.617.1;19;0,04
C.37;12;0,025
B.1.617.3;0;0
P.2;3;0,006
Altro lignaggio;16.506;34,413
;;
