Data;Etˆ;Tasso ricoveri
15/03/21;ott-19;15
15/03/21;20-29;36
15/03/21;30-39;76
15/03/21;40-49;124
15/03/21;50-59;227
15/03/21;60-69;340
15/03/21;70-79;520
15/03/21;80-89;694
15/03/21;90+;866
22/03/21;0-9;17
22/03/21;ott-19;17
22/03/21;20-29;34
22/03/21;30-39;70
22/03/21;40-49;114
22/03/21;50-59;213
22/03/21;60-69;332
22/03/21;70-79;493
22/03/21;80-89;655
22/03/21;90+;819
29/03/21;0-9;21
29/03/21;ott-19;9
29/03/21;20-29;34
29/03/21;30-39;67
29/03/21;40-49;115
29/03/21;50-59;199
29/03/21;60-69;308
29/03/21;70-79;473
29/03/21;80-89;605
29/03/21;90+;817
05/04/21;0-9;19
05/04/21;ott-19;12
05/04/21;20-29;31
05/04/21;30-39;58
05/04/21;40-49;94
05/04/21;50-59;163
05/04/21;60-69;267
05/04/21;70-79;386
05/04/21;80-89;453
05/04/21;90+;505
12/04/21;0-9;19
12/04/21;ott-19;11
12/04/21;20-29;30
12/04/21;30-39;55
12/04/21;40-49;80
12/04/21;50-59;134
12/04/21;60-69;207
12/04/21;70-79;310
12/04/21;80-89;350
12/04/21;90+;427
19/04/21;0-9;16
19/04/21;ott-19;13
19/04/21;20-29;27
19/04/21;30-39;52
19/04/21;40-49;68
19/04/21;50-59;120
19/04/21;60-69;194
19/04/21;70-79;280
19/04/21;80-89;283
19/04/21;90+;367
26/04/21;0-9;16
26/04/21;ott-19;11
26/04/21;20-29;23
26/04/21;30-39;45
26/04/21;40-49;68
26/04/21;50-59;106
26/04/21;60-69;171
26/04/21;70-79;238
26/04/21;80-89;190
26/04/21;90+;266
03/05/21;0-9;14
03/05/21;ott-19;8
03/05/21;20-29;22
03/05/21;30-39;42
03/05/21;40-49;51
03/05/21;50-59;94
03/05/21;60-69;141
03/05/21;70-79;174
03/05/21;80-89;143
03/05/21;90+;218
10/05/21;0-9;10
10/05/21;ott-19;7
10/05/21;20-29;16
10/05/21;30-39;38
10/05/21;40-49;47
10/05/21;50-59;70
10/05/21;60-69;97
10/05/21;70-79;110
10/05/21;80-89;98
10/05/21;90+;180
17/05/21;0-9;7
17/05/21;ott-19;7
17/05/21;20-29;13
17/05/21;30-39;26
17/05/21;40-49;38
17/05/21;50-59;52
17/05/21;60-69;59
17/05/21;70-79;72
17/05/21;80-89;63
17/05/21;90+;96
24/05/21;0-9;7
24/05/21;ott-19;5
24/05/21;20-29;11
24/05/21;30-39;22
24/05/21;40-49;29
24/05/21;50-59;35
24/05/21;60-69;42
24/05/21;70-79;43
24/05/21;80-89;42
24/05/21;90+;65
31/05/21;0-9;7
31/05/21;ott-19;5
31/05/21;20-29;8
31/05/21;30-39;21
31/05/21;40-49;21
31/05/21;50-59;29
31/05/21;60-69;26
31/05/21;70-79;29
31/05/21;80-89;32
31/05/21;90+;58
07/06/21;0-9;6
07/06/21;ott-19;3
07/06/21;20-29;11
07/06/21;30-39;14
07/06/21;40-49;17
07/06/21;50-59;20
07/06/21;60-69;19
07/06/21;70-79;18
07/06/21;80-89;23
07/06/21;90+;47
14/06/21;0-9;3
14/06/21;ott-19;2
14/06/21;20-29;7
14/06/21;30-39;9
14/06/21;40-49;10
14/06/21;50-59;12
14/06/21;60-69;14
14/06/21;70-79;14
14/06/21;80-89;16
14/06/21;90+;36
21/06/21;0-9;4
21/06/21;ott-19;3
21/06/21;20-29;7
21/06/21;30-39;7
21/06/21;40-49;10
21/06/21;50-59;9
21/06/21;60-69;7
21/06/21;70-79;11
21/06/21;80-89;15
21/06/21;90+;25
28/06/21;0-9;2
28/06/21;ott-19;4
28/06/21;20-29;8
28/06/21;30-39;8
28/06/21;40-49;7
28/06/21;50-59;7
28/06/21;60-69;7
28/06/21;70-79;9
28/06/21;80-89;12
28/06/21;90+;18
05/07/21;0-9;4
05/07/21;ott-19;5
05/07/21;20-29;10
05/07/21;30-39;9
05/07/21;40-49;8
05/07/21;50-59;8
05/07/21;60-69;7
05/07/21;70-79;11
05/07/21;80-89;13
05/07/21;90+;17
12/07/21;0-9;5
12/07/21;ott-19;7
12/07/21;20-29;18
12/07/21;30-39;16
12/07/21;40-49;10
12/07/21;50-59;9
12/07/21;60-69;11
12/07/21;70-79;14
12/07/21;80-89;21
12/07/21;90+;20
19/07/21;0-9;9
19/07/21;ott-19;9
19/07/21;20-29;28
19/07/21;30-39;25
19/07/21;40-49;20
19/07/21;50-59;20
19/07/21;60-69;19
19/07/21;70-79;24
19/07/21;80-89;41
19/07/21;90+;47
26/07/21;0-9;10
26/07/21;ott-19;11
26/07/21;20-29;24
26/07/21;30-39;27
26/07/21;40-49;23
26/07/21;50-59;27
26/07/21;60-69;23
26/07/21;70-79;31
26/07/21;80-89;44
26/07/21;90+;60
02/08/21;0-9;15
02/08/21;ott-19;14
02/08/21;20-29;26
02/08/21;30-39;30
02/08/21;40-49;29
02/08/21;50-59;30
02/08/21;60-69;31
02/08/21;70-79;38
02/08/21;80-89;64
02/08/21;90+;88
09/08/21;0-9;13
09/08/21;ott-19;12
09/08/21;20-29;22
09/08/21;30-39;27
09/08/21;40-49;27
09/08/21;50-59;30
09/08/21;60-69;37
09/08/21;70-79;46
09/08/21;80-89;69
09/08/21;90+;101
09/08/21;0-9;22
16/08/21;ott-19;10
16/08/21;20-29;20
16/08/21;30-39;33
16/08/21;40-49;30
16/08/21;50-59;41
16/08/21;60-69;42
16/08/21;70-79;47
16/08/21;80-89;83
16/08/21;90+;98
