Data;Media a 7 giorni;Media a 7 giorni_non_consolidati;Nuovi casi giornaleiri;Nuovi casi giornaleiri_non_consolidati
20/02/20;null;;1;
21/02/20;null;;2;
22/02/20;null;;2;
23/02/20;5,142857143;;3;
24/02/20;6,428571429;;5;
25/02/20;8,285714286;;10;
26/02/20;11,57142857;;6;
27/02/20;14,42857143;;8;
28/02/20;21;;11;
29/02/20;28,14285714;;15;
01/03/20;38,57142857;;26;
02/03/20;52,85714286;;25;
03/03/20;74,71428571;;56;
04/03/20;96,42857143;;56;
05/03/20;125,1428571;;81;
06/03/20;157,5714286;;111;
07/03/20;194,1428571;;168;
08/03/20;228,8571429;;178;
09/03/20;267,1428571;;226;
10/03/20;307;;283;
11/03/20;343,7142857;;312;
12/03/20;384,5714286;;324;
13/03/20;426,2857143;;379;
14/03/20;473,8571429;;447;
15/03/20;521,2857143;;435;
16/03/20;575,1428571;;512;
17/03/20;628,5714286;;575;
18/03/20;683;;645;
19/03/20;733,2857143;;656;
20/03/20;768,5714286;;756;
21/03/20;801,1428571;;821;
22/03/20;827,4285714;;816;
23/03/20;845,8571429;;864;
24/03/20;861;;822;
25/03/20;854,2857143;;873;
26/03/20;844,2857143;;840;
27/03/20;828,2857143;;885;
28/03/20;806;;927;
29/03/20;785;;769;
30/03/20;755,8571429;;794;
31/03/20;715;;710;
01/04/20;691,1428571;;717;
02/04/20;662,4285714;;693;
03/04/20;648,7142857;;681;
04/04/20;632,5714286;;641;
05/04/20;611,5714286;;602;
06/04/20;601,2857143;;593;
07/04/20;593,7142857;;614;
08/04/20;590,8571429;;604;
09/04/20;582,4285714;;546;
10/04/20;572;;609;
11/04/20;559,1428571;;588;
12/04/20;545,7142857;;582;
13/04/20;527;;534;
14/04/20;509,4285714;;541;
15/04/20;492,2857143;;514;
16/04/20;480;;452;
17/04/20;455,1428571;;478;
18/04/20;436,7142857;;465;
19/04/20;423,2857143;;462;
20/04/20;410,2857143;;448;
21/04/20;395,1428571;;367;
22/04/20;375,1428571;;385;
23/04/20;358,4285714;;358;
24/04/20;350,7142857;;387;
25/04/20;338,4285714;;359;
26/04/20;324,8571429;;322;
27/04/20;306,5714286;;331;
28/04/20;291,5714286;;313;
29/04/20;280,2857143;;299;
30/04/20;264,4285714;;263;
01/05/20;252,1428571;;259;
02/05/20;240,7142857;;254;
03/05/20;229;;243;
04/05/20;216,5714286;;220;
05/05/20;208,8571429;;227;
06/05/20;198,4285714;;219;
07/05/20;190,2857143;;181;
08/05/20;180,7142857;;172;
09/05/20;170,1428571;;200;
10/05/20;164,5714286;;170;
11/05/20;162,1428571;;163;
12/05/20;148,2857143;;160;
13/05/20;141;;145;
14/05/20;132;;142;
15/05/20;122,2857143;;155;
16/05/20;114,1428571;;103;
17/05/20;105;;119;
18/05/20;94,85714286;;100;
19/05/20;93,71428571;;92;
20/05/20;88,85714286;;88;
21/05/20;85,28571429;;78;
22/05/20;80,71428571;;84;
23/05/20;75,42857143;;95;
24/05/20;74,28571429;;85;
25/05/20;71;;75;
26/05/20;64,42857143;;60;
27/05/20;59,28571429;;51;
28/05/20;57,42857143;;70;
29/05/20;56,85714286;;61;
30/05/20;56,85714286;;49;
31/05/20;55,42857143;;49;
01/06/20;56,28571429;;62;
02/06/20;60,42857143;;56;
03/06/20;58,57142857;;51;
04/06/20;55,85714286;;60;
05/06/20;54,28571429;;67;
06/06/20;52,42857143;;78;
07/06/20;49,42857143;;36;
08/06/20;44,71428571;;43;
09/06/20;37;;45;
10/06/20;35;;38;
11/06/20;34,28571429;;39;
12/06/20;34,14285714;;34;
13/06/20;33,71428571;;24;
14/06/20;34,42857143;;22;
15/06/20;34,42857143;;38;
16/06/20;33,71428571;;44;
17/06/20;34,14285714;;35;
18/06/20;33,14285714;;44;
19/06/20;34,14285714;;34;
20/06/20;32,71428571;;19;
21/06/20;30,14285714;;25;
22/06/20;28,14285714;;31;
23/06/20;28,85714286;;51;
24/06/20;27,14285714;;25;
25/06/20;25,28571429;;26;
26/06/20;20,42857143;;20;
27/06/20;19;;24;
28/06/20;17,42857143;;13;
29/06/20;16,85714286;;18;
30/06/20;14,42857143;;17;
01/07/20;14,14285714;;15;
02/07/20;13,57142857;;15;
03/07/20;12,71428571;;16;
04/07/20;12;;7;
05/07/20;11,28571429;;11;
06/07/20;10,57142857;;14;
07/07/20;10,57142857;;11;
08/07/20;10,28571429;;10;
09/07/20;11,42857143;;10;
10/07/20;10,85714286;;11;
11/07/20;10,57142857;;7;
12/07/20;11,57142857;;9;
13/07/20;10,85714286;;22;
14/07/20;11,85714286;;7;
15/07/20;12;;8;
16/07/20;10;;17;
17/07/20;11;;6;
18/07/20;12,14285714;;14;
19/07/20;10;;10;
20/07/20;10,28571429;;8;
21/07/20;9;;14;
22/07/20;8,285714286;;16;
23/07/20;9,428571429;;2;
24/07/20;8,571428571;;8;
25/07/20;7,285714286;;5;
26/07/20;8;;5;
27/07/20;7,428571429;;16;
28/07/20;7,285714286;;8;
29/07/20;7;;7;
30/07/20;5,714285714;;7;
31/07/20;4,857142857;;4;
01/08/20;4,857142857;;4;
02/08/20;4,714285714;;3;
03/08/20;5,285714286;;7;
04/08/20;5,571428571;;2;
05/08/20;5,857142857;;7;
06/08/20;6,285714286;;6;
07/08/20;7;;8;
08/08/20;6,571428571;;6;
09/08/20;6,857142857;;5;
10/08/20;7,142857143;;10;
11/08/20;6,571428571;;7;
12/08/20;7,285714286;;4;
13/08/20;6,285714286;;8;
14/08/20;6,142857143;;10;
15/08/20;6,571428571;;2;
16/08/20;7;;10;
17/08/20;6,142857143;;3;
18/08/20;6,714285714;;6;
19/08/20;5,714285714;;7;
20/08/20;6,285714286;;11;
21/08/20;6,285714286;;4;
22/08/20;6,714285714;;6;
23/08/20;6;;3;
24/08/20;5,428571429;;7;
25/08/20;5;;6;
26/08/20;5,571428571;;10;
27/08/20;5,857142857;;6;
28/08/20;6,285714286;;0;
29/08/20;6,428571429;;3;
30/08/20;7,142857143;;7;
31/08/20;8,714285714;;9;
01/09/20;10,28571429;;9;
02/09/20;10,14285714;;11;
03/09/20;11,57142857;;11;
04/09/20;10,85714286;;11;
05/09/20;10,28571429;;14;
06/09/20;10;;6;
07/09/20;9,714285714;;19;
08/09/20;9,857142857;;4;
09/09/20;11;;7;
10/09/20;10,28571429;;9;
11/09/20;12,71428571;;9;
12/09/20;14;;15;
13/09/20;15;;14;
14/09/20;17,14285714;;14;
15/09/20;17,28571429;;21;
16/09/20;18;;16;
17/09/20;18,42857143;;16;
18/09/20;17,28571429;;24;
19/09/20;18,71428571;;16;
20/09/20;19,42857143;;19;
21/09/20;20,14285714;;17;
22/09/20;20,57142857;;13;
23/09/20;21,42857143;;26;
24/09/20;22;;21;
25/09/20;23,71428571;;29;
26/09/20;22,71428571;;19;
27/09/20;23,42857143;;25;
28/09/20;23,57142857;;21;
29/09/20;23,28571429;;25;
30/09/20;22,57142857;;19;
01/10/20;25,14285714;;26;
02/10/20;25,14285714;;30;
03/10/20;27,14285714;;17;
04/10/20;29;;20;
05/10/20;31;;39;
06/10/20;36;;25;
07/10/20;41,14285714;;33;
08/10/20;46,57142857;;39;
09/10/20;53;;44;
10/10/20;58,57142857;;52;
11/10/20;62,71428571;;56;
12/10/20;71,57142857;;77;
13/10/20;77;;70;
14/10/20;84,14285714;;72;
15/10/20;88,57142857;;68;
16/10/20;99,57142857;;106;
17/10/20;110,2857143;;90;
18/10/20;123,7142857;;106;
19/10/20;134,5714286;;108;
20/10/20;152;;147;
21/10/20;165,2857143;;147;
