Data;Media a 7 giorni;Media a 7 giorni_non_consolidati;Nuovi casi giornaleiri;Nuovi casi giornaleiri_non_consolidati
20/02/20;null;;5;
21/02/20;null;;2;
22/02/20;null;;3;
23/02/20;15,85714286;;5;
24/02/20;21,28571429;;10;
25/02/20;27,71428571;;46;
26/02/20;35,14285714;;19;
27/02/20;44,71428571;;26;
28/02/20;51,57142857;;40;
29/02/20;64;;48;
01/03/20;75,85714286;;57;
02/03/20;90,57142857;;77;
03/03/20;102;;94;
04/03/20;110,8571429;;106;
05/03/20;122,2857143;;109;
06/03/20;131,1428571;;143;
07/03/20;143,2857143;;128;
08/03/20;156;;119;
09/03/20;170,7142857;;157;
10/03/20;184,8571429;;156;
11/03/20;198,4285714;;191;
12/03/20;210;;198;
13/03/20;228,5714286;;246;
14/03/20;245,4285714;;227;
15/03/20;256,2857143;;214;
16/03/20;262,2857143;;238;
17/03/20;265,4285714;;286;
18/03/20;277,1428571;;309;
19/03/20;289,5714286;;274;
20/03/20;292,5714286;;288;
21/03/20;296,8571429;;249;
22/03/20;292,7142857;;296;
23/03/20;289,2857143;;325;
24/03/20;282,2857143;;307;
25/03/20;268;;339;
26/03/20;253,4285714;;245;
27/03/20;236,7142857;;264;
28/03/20;215,7142857;;200;
29/03/20;207,7142857;;196;
30/03/20;190,8571429;;223;
31/03/20;180;;190;
01/04/20;166,1428571;;192;
02/04/20;152,2857143;;189;
03/04/20;144,8571429;;146;
04/04/20;137,5714286;;124;
05/04/20;132,5714286;;99;
06/04/20;127,5714286;;126;
07/04/20;122,4285714;;138;
08/04/20;118;;141;
09/04/20;107,8571429;;154;
10/04/20;99,42857143;;111;
11/04/20;90,85714286;;88;
12/04/20;79,14285714;;68;
13/04/20;75,85714286;;55;
14/04/20;75,28571429;;79;
15/04/20;77,71428571;;81;
16/04/20;83,42857143;;72;
17/04/20;82,57142857;;88;
18/04/20;84;;84;
19/04/20;86,42857143;;85;
20/04/20;84,71428571;;95;
21/04/20;83,85714286;;73;
22/04/20;82,28571429;;91;
23/04/20;77;;89;
24/04/20;74,85714286;;76;
25/04/20;71,85714286;;78;
26/04/20;67,28571429;;74;
27/04/20;64;;58;
28/04/20;59,57142857;;58;
29/04/20;53,85714286;;70;
30/04/20;51,71428571;;57;
01/05/20;49,57142857;;53;
02/05/20;48,28571429;;47;
03/05/20;45,14285714;;34;
04/05/20;43;;43;
05/05/20;40,14285714;;43;
06/05/20;38,28571429;;61;
07/05/20;36;;35;
08/05/20;32,71428571;;38;
09/05/20;28,42857143;;27;
10/05/20;28,14285714;;21;
11/05/20;27,28571429;;27;
12/05/20;27;;20;
13/05/20;26,85714286;;31;
14/05/20;25;;33;
15/05/20;25,28571429;;32;
16/05/20;23,42857143;;25;
17/05/20;21,28571429;;20;
18/05/20;18,57142857;;14;
19/05/20;17,14285714;;22;
20/05/20;16,14285714;;18;
21/05/20;16,28571429;;18;
22/05/20;15,42857143;;13;
23/05/20;14,28571429;;15;
24/05/20;12,57142857;;13;
25/05/20;13,28571429;;15;
26/05/20;12,42857143;;16;
27/05/20;11,57142857;;10;
28/05/20;10,71428571;;6;
29/05/20;9,571428571;;18;
30/05/20;8,857142857;;9;
31/05/20;9,285714286;;7;
01/06/20;8,142857143;;9;
02/06/20;8,428571429;;8;
03/06/20;8,428571429;;5;
04/06/20;8;;9;
05/06/20;8,285714286;;10;
06/06/20;9,285714286;;11;
07/06/20;9,142857143;;7;
08/06/20;8,571428571;;6;
09/06/20;7,571428571;;10;
10/06/20;7,285714286;;12;
11/06/20;7,571428571;;8;
12/06/20;7,428571429;;6;
13/06/20;6,285714286;;4;
14/06/20;6,428571429;;5;
15/06/20;7;;8;
16/06/20;7,285714286;;9;
17/06/20;7,285714286;;4;
18/06/20;7,142857143;;9;
19/06/20;6,142857143;;10;
20/06/20;7;;6;
21/06/20;6,571428571;;5;
22/06/20;6,285714286;;7;
23/06/20;5,714285714;;2;
24/06/20;5,428571429;;10;
25/06/20;4,714285714;;6;
26/06/20;5,428571429;;8;
27/06/20;4,714285714;;2;
28/06/20;4,428571429;;3;
29/06/20;3,285714286;;2;
30/06/20;3,714285714;;7;
01/07/20;3,571428571;;5;
02/07/20;3,571428571;;4;
03/07/20;2,857142857;;0;
04/07/20;2,571428571;;5;
05/07/20;2,428571429;;2;
06/07/20;3;;2;
07/07/20;2,285714286;;2;
08/07/20;2,285714286;;3;
09/07/20;2,428571429;;3;
10/07/20;2,714285714;;4;
11/07/20;2,714285714;;0;
12/07/20;2,714285714;;2;
13/07/20;2,285714286;;3;
14/07/20;2,428571429;;4;
15/07/20;2,428571429;;3;
16/07/20;2;;3;
17/07/20;2,142857143;;1;
18/07/20;2,428571429;;1;
19/07/20;2,857142857;;2;
20/07/20;3,285714286;;0;
21/07/20;3,714285714;;5;
22/07/20;3,857142857;;5;
23/07/20;4,428571429;;6;
24/07/20;4,428571429;;4;
25/07/20;4,428571429;;4;
26/07/20;4,285714286;;3;
27/07/20;4,142857143;;4;
28/07/20;4,428571429;;5;
29/07/20;4,571428571;;5;
30/07/20;4,571428571;;5;
31/07/20;5,285714286;;3;
01/08/20;5;;6;
02/08/20;4,714285714;;4;
03/08/20;4,857142857;;4;
04/08/20;4,857142857;;10;
05/08/20;4,428571429;;3;
06/08/20;4,571428571;;3;
07/08/20;3,714285714;;4;
08/08/20;4;;6;
09/08/20;4,428571429;;1;
10/08/20;5,142857143;;5;
11/08/20;5,142857143;;4;
12/08/20;5,571428571;;5;
13/08/20;5,714285714;;6;
14/08/20;6,571428571;;9;
15/08/20;6,714285714;;6;
16/08/20;6,714285714;;4;
17/08/20;5,714285714;;6;
18/08/20;5,571428571;;10;
19/08/20;6;;6;
20/08/20;6,571428571;;6;
21/08/20;6,428571429;;2;
22/08/20;6,714285714;;5;
23/08/20;6,571428571;;7;
24/08/20;7,285714286;;10;
25/08/20;7,714285714;;9;
26/08/20;9;;8;
27/08/20;9,571428571;;5;
28/08/20;9,857142857;;7;
29/08/20;10,57142857;;8;
30/08/20;11,28571429;;16;
31/08/20;11,85714286;;14;
01/09/20;12,42857143;;11;
02/09/20;11,42857143;;13;
03/09/20;11,28571429;;10;
04/09/20;10,85714286;;11;
05/09/20;12,57142857;;12;
06/09/20;12,71428571;;9;
07/09/20;13,14285714;;13;
08/09/20;14,14285714;;8;
09/09/20;14,28571429;;25;
10/09/20;15,28571429;;11;
11/09/20;17,57142857;;14;
12/09/20;16,28571429;;19;
13/09/20;18,42857143;;10;
14/09/20;17,71428571;;20;
15/09/20;18,28571429;;24;
16/09/20;19,14285714;;16;
17/09/20;18,57142857;;26;
18/09/20;17,71428571;;9;
19/09/20;17,71428571;;23;
20/09/20;17,42857143;;16;
21/09/20;18,71428571;;16;
22/09/20;18,28571429;;18;
23/09/20;18,85714286;;16;
24/09/20;20,28571429;;24;
25/09/20;21,71428571;;18;
26/09/20;22,71428571;;20;
27/09/20;22,85714286;;20;
28/09/20;23,85714286;;26;
29/09/20;25,57142857;;28;
30/09/20;28;;23;
01/10/20;28,57142857;;25;
02/10/20;30,28571429;;25;
03/10/20;36;;32;
04/10/20;38,71428571;;37;
05/10/20;43,71428571;;30;
06/10/20;46;;40;
07/10/20;49,57142857;;63;
08/10/20;55,14285714;;44;
09/10/20;60,71428571;;60;
10/10/20;63,57142857;;48;
11/10/20;73,85714286;;62;
12/10/20;80,14285714;;69;
13/10/20;88,71428571;;79;
14/10/20;97,71428571;;83;
