variant;number_cases;percent_cases_variant;number_cases_last_45_days;perc_cases_last_45_days;variant_sex_female;percent_variant_female;variant_sex_female_last_45_days;percent_variant_female_last_45_days;variant_sex_male;percent_variant_male;variant_sex_male_last_45_days;percent_variant_male_last_45_days;native_case;native_case_last_45_days;imported_case;imported_case_last_45_days
B.1.1.7;27.927;36,9;14;0,3;13.945;37,4;7;0,2;13.982;36,5;7;0,3;27.584;14;343;0
B.1.1.7 + E484K;75;0,1;0;0;37;0,1;0;0;38;0,1;0;0;75;0;0;0
B.1.351;289;0,4;0;0;134;0,4;0;0;155;0,4;0;0;278;0;11;0
P.1;2.828;3,7;1;<0,1;1.381;3,7;1;<0,1;1.447;3,8;0;0;2.789;1;39;0
B.1.617.2;35.867;47,4;4.899;91,4;17.565;47,1;2.597;91,4;18.302;47,7;2.302;91,3;34.118;4.820;1.749;79
B.1.525;464;0,6;0;0;187;0,5;0;0;277;0,7;0;0;377;0;87;0
B.1.617.1;500;0,7;46;0,9;260;0,7;30;1,1;240;0,6;16;0,6;498;46;2;0
B.1.617.3;30;<0,1;0;0;20;0,1;0;0;10;<0,1;0;0;25;0;5;0
P.2;5;<0,1;0;0;1;<0,1;0;0;4;<0,1;0;0;5;0;0;0
Other;7.668;10,1;402;7,5;3.776;10,1;205;7,2;3.892;10,1;197;7,8;7.433;376;235;26
