variant;number_sequenced;percent_cases_sequenced;number_sequenced_last_45_days;percent_cases_sequenced_last_45_days
B.1.1.7;26.296;37,41;62;1,31
B.1.351;126;0,18;0;0
P.1;2.617;3,72;4;0,08
B.1.617.2;29.320;41,72;4.626;97,93
C.37;18;0,03;0;0
B.1.621;83;0,12;0;0
B.1.525;457;0,65;0;0
B.1.617.1;19;0,03;0;0
B.1.617.3;0;0;0;0
P.2;3;0;0;0
Altro lignaggio;11.344;16,14;32;0,68
;;;;
