Sessione_start;Sessione_end;Regione;Studenti testati;Positivi;Positivi ogni 100;Positivi ogni 100mila;Incidenza per 100mila;Tasso accettazione
22/11/21;05/12/21;Piemonte;2193;11;0,5;501,6;702,3;51,50%
22/11/21;05/12/21;"P.A.
Bolzano";539;4;0,74;742,1;2145,3;84,00%
22/11/21;05/12/21;P.A. Trento;532;10;1,88;1879,7;686,2;52,40%
22/11/21;05/12/21;Puglia;2728;5;0,18;183,3;219,5;92,60%
22/11/21;05/12/21;Sardegna;1557;0;0;0;308,1;90,70%
22/11/21;05/12/21;Sicilia;2251;9;0,4;399,8;454,2;34,20%
22/11/21;05/12/21;Toscana;2877;10;0,35;347,6;530,2;87,10%
22/11/21;05/12/21;Umbria;1117;11;0,98;984,8;439,2;96,60%
22/11/21;05/12/21;"Valle
d'Aosta";95;4;4,21;4210,5;1273,5;87,20%
22/11/21;05/12/21;Veneto;7591;29;0,38;382;1314,2;67,00%
22/11/21;05/12/21;Totale;39192;148;0,37;374,6;726,9;61,40%
06/12/21;19/12/21;Abruzzo;1350;6;0,44;444,4;821,2;74,50%
06/12/21;19/12/21;Basilicata;;;;;774;
06/12/21;19/12/21;Calabria;901;2;0,22;222;2002,5;60,00%
06/12/21;19/12/21;Campania;;;;;763,2;
06/12/21;19/12/21;Emilia- Romagna;;;;;803,4;
06/12/21;19/12/21;"Friuli- Venezia
Giulia";745;5;0,67;671,1;1487,3;40,00%
06/12/21;19/12/21;Lazio;4252;16;0,38;376,3;1442,2;58,50%
06/12/21;19/12/21;Liguria;839;1;0,12;119,2;1157;42,50%
06/12/21;19/12/21;Lombardia;5419;25;0,46;461,3;1495,9;47,00%
06/12/21;19/12/21;Marche;;;;;1152,8;
06/12/21;19/12/21;Molise;;;;;969;
06/12/21;19/12/21;Piemonte;1981;25;1,26;1262;145,8;48,40%
06/12/21;19/12/21;"P.A.
Bolzano";353;2;0,57;566,6;1220,3;60,30%
06/12/21;19/12/21;P.A. Trento;554;11;1,99;1985,6;438;48,00%
06/12/21;19/12/21;Puglia;;;;;566,8;
06/12/21;19/12/21;Sardegna;1467;2;0,14;136,3;682,4;91,50%
06/12/21;19/12/21;Sicilia;3075;14;0,46;455,3;910,3;31,80%
06/12/21;19/12/21;Toscana;2358;9;0,38;381,7;909,5;82,40%
06/12/21;19/12/21;Umbria;448;3;0,67;669,6;883,3;100,00%
06/12/21;19/12/21;"Valle
d'Aosta";81;2;2,47;2469,1;1023,2;67,50%
06/12/21;19/12/21;Veneto;7101;22;0,31;309,8;2029,6;57,30%
06/12/21;19/12/21;Totale;30924;145;0,47;468,9;1088,8;52,50%
03/01/22;16/01/22;Abruzzo;232;4;1,72;1724,1;6248;79,70%
03/01/22;16/01/22;Basilicata;;;;;3014,8;
03/01/22;16/01/22;Calabria;408;0;0;0;6000,7;47,90%
03/01/22;16/01/22;Campania;;;;;1589;
03/01/22;16/01/22;Emilia- Romagna;;;;;5072,4;
03/01/22;16/01/22;"Friuli- Venezia
Giulia";76;3;3,95;3947,4;6966,9;29,10%
03/01/22;16/01/22;Lazio;1467;27;1,84;1840,5;4169,6;69,30%
03/01/22;16/01/22;Liguria;150;4;2,67;2666,7;3991,7;77,70%
03/01/22;16/01/22;Lombardia;;;;;6282,6;
03/01/22;16/01/22;Marche;;;;;6716;
03/01/22;16/01/22;Molise;;;;;3787,6;
03/01/22;16/01/22;Piemonte;64;1;1,56;1562,5;3186,1;9,60%
03/01/22;16/01/22;"P.A.
Bolzano";285;4;1,4;1403,5;5449,7;81,40%
03/01/22;16/01/22;P.A. Trento;656;37;5,64;5640,2;5454,9;53,30%
03/01/22;16/01/22;Puglia;;;;;2244,4;
03/01/22;16/01/22;Sardegna;623;5;0,8;802,6;2911,5;95,30%
03/01/22;16/01/22;Sicilia;71;0;0;0;6604;74,00%
03/01/22;16/01/22;Toscana;2677;54;2,02;2017,2;5856,9;88,10%
03/01/22;16/01/22;Umbria;;;;;6091,2;
03/01/22;16/01/22;"Valle
d'Aosta";69;2;2,9;2898,6;6759,6;77,50%
03/01/22;16/01/22;Veneto;;;;;5692,8;
03/01/22;16/01/22;Totale;6778;141;2,08;2080,3;5242,6;68,90%
17/01/22;30/01/22;Abruzzo;1053;17;1,61;1614,4;8457,6;57,70%
17/01/22;30/01/22;Basilicata;;;;;7708,9;
17/01/22;30/01/22;Calabria;969;9;0,93;928,8;12101,8;78,10%
17/01/22;30/01/22;Campania;;;;;1328,8;
17/01/22;30/01/22;Emilia- Romagna;;;;;6103,6;
17/01/22;30/01/22;"Friuli- Venezia
Giulia";;;;;10464,5;
17/01/22;30/01/22;Lazio;1313;30;2,28;2284,8;4541,5;43,60%
17/01/22;30/01/22;Liguria;;;;;6498,9;
17/01/22;30/01/22;Lombardia;;;;;10405;
17/01/22;30/01/22;Marche;;;;;7334,6;
17/01/22;30/01/22;Molise;;;;;10374,9;
17/01/22;30/01/22;Piemonte;777;38;4,89;4890,6;4314,7;38,90%
17/01/22;30/01/22;"P.A.
Bolzano";340;5;1,47;1470,6;8412,4;48,60%
17/01/22;30/01/22;P.A. Trento;234;18;7,69;7692,3;6345,6;38,60%
17/01/22;30/01/22;Puglia;;;;;2775,7;
17/01/22;30/01/22;Sardegna;1034;11;1,06;1063,8;3523,7;85,20%
17/01/22;30/01/22;Sicilia;1095;15;1,37;1369,9;9819;62,30%
17/01/22;30/01/22;Toscana;3044;53;1,74;1741,1;9422,7;84,40%
17/01/22;30/01/22;Umbria;;;;;7298,5;
17/01/22;30/01/22;"Valle
d'Aosta";82;2;2,44;2439;8664,4;75,20%
17/01/22;30/01/22;Veneto;;;;;9259,4;
17/01/22;30/01/22;Totale;9941;198;1,99;1991,8;7233,8;61,90%
31/01/22;13/02/22;Abruzzo;1267;13;1,03;1026;5253,8;66,00%
31/01/22;13/02/22;Basilicata;;;;;5948,6;
31/01/22;13/02/22;Calabria;1173;9;0,77;767,3;6228,4;75,30%
31/01/22;13/02/22;Campania;;;;;2263,7;
31/01/22;13/02/22;Emilia- Romagna;;;;;4298;
31/01/22;13/02/22;"Friuli- Venezia
Giulia";;;;;4087,9;
31/01/22;13/02/22;Lazio;2327;60;2,58;2578,4;3845,8;43,00%
31/01/22;13/02/22;Liguria;;;;;4205,1;
31/01/22;13/02/22;Lombardia;;;;;4168,7;
31/01/22;13/02/22;Marche;;;;;2717,9;
31/01/22;13/02/22;Molise;;;;;5403,1;
31/01/22;13/02/22;Piemonte;936;14;1,5;1495,7;5113,9;65,80%
31/01/22;13/02/22;"P.A.
Bolzano";335;4;1,19;1194;3489,1;60,50%
31/01/22;13/02/22;P.A. Trento;221;7;3,17;3167,4;4542,7;36,50%
31/01/22;13/02/22;Puglia;;;;;4283,5;
31/01/22;13/02/22;Sardegna;;;;;4243,8;
31/01/22;13/02/22;Sicilia;1884;31;1,65;1645,4;4735,1;36,40%
31/01/22;13/02/22;Toscana;2202;22;1;999,1;3500,7;80,80%
31/01/22;13/02/22;Umbria;;;;;5370,7;
31/01/22;13/02/22;"Valle
d'Aosta";34;0;0;0;2209,6;85,00%
31/01/22;13/02/22;Veneto;;;;;4236,6;
31/01/22;13/02/22;Totale;10379;160;1,54;1541,6;3985,7;53,40%
14/02/22;27/02/22;Abruzzo;1491;10;0,67;670,7;2527,5;79,30%
14/02/22;27/02/22;Basilicata;;;;;3464,7;
14/02/22;27/02/22;Calabria;871;7;0,8;803,7;1933,3;59,80%
14/02/22;27/02/22;Campania;;;;;3165,6;
14/02/22;27/02/22;Emilia- Romagna;;;;;1873,5;
14/02/22;27/02/22;"Friuli- Venezia
Giulia";;;;;936,2;
14/02/22;27/02/22;Lazio;3502;57;1,63;1627,6;1045,5;54,50%
14/02/22;27/02/22;Liguria;;;;;2088,5;
14/02/22;27/02/22;Lombardia;;;;;1811,7;
14/02/22;27/02/22;Marche;;;;;975,3;
14/02/22;27/02/22;Molise;;;;;2322,3;
14/02/22;27/02/22;Piemonte;;;;;2770,3;
14/02/22;27/02/22;"P.A.
Bolzano";379;3;0,79;791,6;757,8;68,00%
14/02/22;27/02/22;P.A. Trento;262;1;0,38;381,7;2841,4;41,30%
14/02/22;27/02/22;Puglia;;;;;2863,5;
14/02/22;27/02/22;Sardegna;;;;;2849,9;
14/02/22;27/02/22;Sicilia;1817;20;1,1;1100,7;1946,1;37,50%
14/02/22;27/02/22;Toscana;;;;;814,1;
14/02/22;27/02/22;Umbria;;;;;3854,1;
14/02/22;27/02/22;"Valle
d'Aosta";59;0;0;0;424,5;70,20%
14/02/22;27/02/22;Veneto;;;;;1391,8;
14/02/22;27/02/22;Totale;8381;98;1,17;1169,3;1804,5;52,80%
28/02/22;13/03/22;Abruzzo;1194;17;1,42;1423,8;2527,5;70,70%
28/02/22;13/03/22;Basilicata;;;;;3464,7;
28/02/22;13/03/22;Calabria;535;9;1,68;1682,2;1933,3;48,50%
28/02/22;13/03/22;Campania;;;;;3165,6;
28/02/22;13/03/22;Emilia- Romagna;;;;;1873,5;
28/02/22;13/03/22;"Friuli- Venezia
Giulia";;;;;936,2;
28/02/22;13/03/22;Lazio;2940;54;1,84;1836,7;1045,5;60,40%
28/02/22;13/03/22;Liguria;;;;;2088,5;
28/02/22;13/03/22;Lombardia;;;;;1811,7;
28/02/22;13/03/22;Marche;;;;;975,3;
28/02/22;13/03/22;Molise;;;;;2322,3;
28/02/22;13/03/22;Piemonte;;;;;2770,3;
28/02/22;13/03/22;"P.A.
Bolzano";432;1;0,23;231,5;757,8;77,70%
28/02/22;13/03/22;P.A. Trento;317;3;0,95;946,4;2841,4;27,50%
28/02/22;13/03/22;Puglia;;;;;2863,5;
28/02/22;13/03/22;Sardegna;;;;;2849,9;
28/02/22;13/03/22;Sicilia;2058;19;0,92;923,2;1946,1;31,80%
28/02/22;13/03/22;Toscana;;;;;814,1;
28/02/22;13/03/22;Umbria;;;;;3854,1;
28/02/22;13/03/22;"Valle
d'Aosta";42;0;0;0;424,5;62,70%
28/02/22;13/03/22;Veneto;;;;;1391,8;
28/02/22;13/03/22;Totale;7518;103;1,37;1370;1804,5;47,20%
