Data;Tipologia scuola;Totale Docenti;Docenti positivi;Incidenza Docenti positivi sul Totale;Totale ATA;ATA positivi;Incidenza sul Totale delle Sezioni/Classi
4-10 ottobre 2021;Infanzia;8.212;14;0,17%;10.581;17;0,16%
4-10 ottobre 2021;Primaria;19.534;23;0,12%;-;-;-
4-10 ottobre 2021;I Grado;15.602;26;0,17%;-;-;-
4-10 ottobre 2021;II Grado;22.100;16;0,07%;6.739;4;0,06%
4-10 ottobre 2021;Totale;65.448;79;0,12%;17.320;21;0,12%
;;;;;;;
11-17 ottobre 2021;Infanzia;8.812;13;0,15%;11.298;12;0,11%
11-17 ottobre 2021;Primaria;20.985;29;0,14%;-;-;-
11-17 ottobre 2021;I Grado;16.886;26;0,15%;-;-;-
11-17 ottobre 2021;II Grado;23.489;22;0,09%;7.121;4;0,06%
11-17 ottobre 2021;Totale;70.172;90;0,13%;18.419;16;0,09%
;;;;;;;
18-24 ottobre 2021;Infanzia;8.159;10;0,12%;10.513;11;0,10%
18-24 ottobre 2021;Primaria;19.481;26;0,13%;-;-;-
18-24 ottobre 2021;I Grado;15.599;28;0,18%;-;-;-
18-24 ottobre 2021;II Grado;21.028;31;0,15%;6.318;5;0,08%
18-24 ottobre 2021;Totale;64.267;95;0,15%;16.831;16;0,10%
;;;;;;;
1-7 novembre 2021;Infanzia;8.689;27;0,31%;11.195;14;0,13%
1-7 novembre 2021;Primaria;20.595;50;0,24%;-;-;-
1-7 novembre 2021;I Grado;16.600;37;0,22%;-;-;-
1-7 novembre 2021;II Grado;23.622;43;0,18%;7.152;7;0,10%
1-7 novembre 2021;Totale;69.506;157;0,23%;18.347;21;0,11%
;;;;;;;
8-14 novembre 2021;Infanzia;8.739;36;0,41%;11.321;22;0,19%
8-14 novembre 2021;Primaria;20.807;61;0,29%;-;-;-
8-14 novembre 2021;I Grado;16.780;59;0,35%;-;-;-
8-14 novembre 2021;II Grado;23.426;60;0,26%;7.043;14;0,20%
8-14 novembre 2021;Totale;69.752;216;0,31%;18.364;36;0,20%
;;;;;;;
22-28 novembre 2021;Infanzia;8.592;47;0,55%;11.087;35;0,32%
22-28 novembre 2021;Primaria;20.378;85;0,42%;-;-;-
22-28 novembre 2021;I Grado;16.508;82;0,50%;-;-;-
22-28 novembre 2021;II Grado;22.439;86;0,38%;6.749;16;0,24%
22-28 novembre 2021;Totale;67.917;300;0,44%;17.836;51;0,29%
;;;;;;;
29 novembre-5 dicembre 2021;Infanzia;8.545;49;0,57%;10.927;37;0,34%
29 novembre-5 dicembre 2021;Primaria;20.089;101;0,50%;-;-;-
29 novembre-5 dicembre 2021;I Grado;16.217;95;0,59%;-;-;-
29 novembre-5 dicembre 2021;II Grado;22.938;85;0,37%;6.862;18;0,26%
29 novembre-5 dicembre 2021;Totale;67.789;330;0,49%;17.789;55;0,31%
