Data;Tipologia scuola;Totale Alunni;Alunni positivi;Incidenza alunni positivi sul Totale;Totale Sezioni/Classi;Sezioni/Classi totalmente in quarantena;Incidenza sul Totale delle Sezioni/Classi
4-10 ottobre 2021;Infanzia;87.289;104;0,12%;4.441;52;1,17%
4-10 ottobre 2021;Primaria;184.917;327;0,18%;10.656;114;1,07%
4-10 ottobre 2021;I Grado;128.189;232;0,18%;6.729;80;1,19%
4-10 ottobre 2021;II Grado;196.708;245;0,12%;9.968;71;0,71%
4-10 ottobre 2021;Totale;597.103;908;0,15%;31.794;317;1,00%
;;;;;;;
11-17 ottobre 2021;Infanzia;94.303;127;0,13%;4.785;24;0,50%
11-17 ottobre 2021;Primaria;199.239;289;0,15%;11.461;135;1,18%
11-17 ottobre 2021;I Grado;138.742;210;0,15%;7.270;124;1,71%
11-17 ottobre 2021;II Grado;207.570;259;0,12%;10.532;89;0,85%
11-17 ottobre 2021;Totale;639.854;885;0,14%;34.048;372;1,09%
;;;;;;;
18-24 ottobre 2021;Infanzia;86.826;79;0,09%;4.415;27;0,61%
18-24 ottobre 2021;Primaria;185.588;289;0,16%;10.689;152;1,42%
18-24 ottobre 2021;I Grado;127.839;206;0,16%;6.736;110;1,63%
18-24 ottobre 2021;II Grado;189.451;233;0,12%;9.502;79;0,83%
18-24 ottobre 2021;Totale;589.704;807;0,14%;31.342;368;1,17%
;;;;;;;
1-7 novembre 2021;Infanzia;92.475;72;0,08%;4.696;20;0,43%
1-7 novembre 2021;Primaria;195.690;319;0,16%;11.271;89;0,79%
1-7 novembre 2021;I Grado;136.370;254;0,19%;7.148;77;1,08%
1-7 novembre 2021;II Grado;208.332;306;0,15%;10.563;42;0,40%
1-7 novembre 2021;Totale;632.867;951;0,15%;33.678;228;0,68%
;;;;;;;
8-14 novembre 2021;Infanzia;93.913;97;0,10%;4.767;29;0,61%
8-14 novembre 2021;Primaria;197.048;367;0,19%;11.387;112;0,98%
8-14 novembre 2021;I Grado;137.627;306;0,22%;7.227;113;1,56%
8-14 novembre 2021;II Grado;207.012;342;0,17%;10.472;104;0,99%
8-14 novembre 2021;Totale;635.600;1.112;0,17%;33.853;358;1,06%
;;;;;;;
22-28 novembre 2021;Infanzia;91.717;125;0,14%;4.663;74;1,59%
22-28 novembre 2021;Primaria;193.542;558;0,29%;11.152;195;1,75%
22-28 novembre 2021;I Grado;136.081;525;0,39%;7.116;176;2,47%
22-28 novembre 2021;II Grado;198.970;452;0,23%;10.071;135;1,34%
22-28 novembre 2021;Totale;620.310;1.660;0,27%;33.002;580;1,76%
;;;;;;;
29 novembre -  5 dicembre 2021;Infanzia;91.278;166;0,18%;4.642;67;1,44%
29 novembre -  5 dicembre 2021;Primaria;190.863;675;0,35%;10.956;207;1,89%
29 novembre -  5 dicembre 2021;I Grado;132.897;579;0,44%;6.960;160;2,30%
29 novembre -  5 dicembre 2021;II Grado;204.535;526;0,26%;10.321;143;1,39%
29 novembre -  5 dicembre 2021;Totale;619.573;1.946;0,31%;32.879;577;1,75%
