Data;Totale Docenti;Docenti positivi;Incidenza positivi;Docenti quarantena;Incidenza quarantena;Docenti sospesi;Docenti sospesi (%)
20/09/2021 - 27/09/2021;-;-;0,15%;-;-;-;-
27/09/2021 - 03/10/2021;-;-;0,17%;-;-;-;-
4/10/2021 - 10/10/2021;65.448;79;0,12%;-;-;-;-
11/10/2021 - 17/10/2021;70.172;90;0,13%;-;-;-;-
18/10/2021 - 24/10/2021;64.267;95;0,15%;-;-;-;-
01/11/2021 - 07/11/2021;69.506;157;0,23%;-;-;-;-
08/11/2021 - 14/11/2021;69.752;216;0,31%;-;-;-;-
15/11/2021 - 21/11/2021;-;-;0,37%;-;-;-;-
22/11/2021 - 28/11/2021;67.917;300;0,44%;-;-;-;-
29/11/2021 - 05/12/2021;67.789;330;0,49%;-;-;-;-
18/01/22;-;2.981;3,40%;911;1,04%;605;0,69%
24/01/22;-;2.276;2,78%;1.013;1,24%;577;0,70%
