Nomenclatura OMS;Lignaggio;Numero di sequenze;%
Alfa;B.1.1.7;23.717;43,59
Alfa;B.1.1.7 + E484K;;0,05
Alfa;Q.2;;2,94
Beta;B.1.351;;0,12
Beta;B.1.351.3;;0,08
Gamma;P.1;;1,12
Gamma;P.1.1;;3,61
Delta;B.1.617.2;;18,98
Delta;AY.4;;3,43
Delta;AY.5;;0,39
Delta;AY.6;;0,17
Delta;AY.7.2;;0,92
Delta;AY.9;;0,71
Delta;AY.10;;0,22
Delta;AY.12;;0,62
Delta;AY.20;;0,07
Delta;AY.21;;0,54
Delta;AY.24;;0,07
Delta;AY.25;;0,07
Eta;B.1.525;;0,82
Mu;B.1.621;;0,12
;Altro lignaggio;;21,35
Totale;;;100
;;;
;;;
;;;
;;;
;;;
;;;
