"period_start","period_end","publication","url","variant","number_cases","percent_cases_variant","variant_sex_female","percent_variant_female","variant_sex_male","percent_variant_male","native_case","imported_case","period_start_last_45_days","period_end_last_45_days","number_cases_last_45_days","perc_cases_last_45_days","variant_sex_female_last_45_days","percent_variant_female_last_45_days","variant_sex_male_last_45_days","percent_variant_male_last_45_days","native_case_last_45_days","imported_case_last_45_days"
"28/12/20","06/06/21","16/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_2/Bollettino_varianti_2.pdf","P.1",1780,6.26,895,6.3,885,6.23,1772,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","06/06/21","16/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_2/Bollettino_varianti_2.pdf","P.2",9,0.03,5,0.04,4,0.03,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","06/06/21","16/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_2/Bollettino_varianti_2.pdf","B.1.525",338,1.19,136,0.96,202,1.42,292,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","06/06/21","16/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_2/Bollettino_varianti_2.pdf","B.1.1.7 + E484K",11,0.04,5,0.04,6,0.04,11,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","06/06/21","16/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_2/Bollettino_varianti_2.pdf","B.1.617.1/2",91,0.32,42,0.3,49,0.34,68,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","06/06/21","16/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_2/Bollettino_varianti_2.pdf","Other",4694,16.51,2354,16.56,2340,16.47,4646,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","21/06/21","25/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_3/Bollettino_varianti_3.pdf","B.1.1.7",23345,74.92,11712,75.37,11633,74.49,23162,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","21/06/21","25/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_3/Bollettino_varianti_3.pdf","B.1.351",227,0.73,111,0.71,116,0.74,219,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","21/06/21","25/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_3/Bollettino_varianti_3.pdf","P.1",2028,6.51,1015,6.53,1013,6.49,2016,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","21/06/21","25/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_3/Bollettino_varianti_3.pdf","P.2",2,0.01,0,0,2,0.01,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","21/06/21","25/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_3/Bollettino_varianti_3.pdf","B.1.525",364,1.17,144,0.93,220,1.41,313,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","21/06/21","25/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_3/Bollettino_varianti_3.pdf","B.1.1.7 + E484K",22,0.07,12,0.08,10,0.06,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28/12/20","21/06/21","25/06/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_3/Bollettino_varianti_3.pdf","B.1.617.1/2",272,0.87,130,0.84,142,0.91,237,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
